gen_name|original_name|last|lastSz|askPx|askSz|bidPx|bidSz|open24h|high24h|low24h|volCcy24h|vol24h|ts|sodUtc0|sodUtc8|alias|baseCcy|category|ctMult|ctType|ctVal|ctValCcy|expTime|instFamily|instType_y|lever|listTime|lotSz|maxIcebergSz|maxLmtAmt|maxLmtSz|maxMktAmt|maxMktSz|maxStopSz|maxTriggerSz|maxTwapSz|minSz|optType|quoteCcy|settleCcy|state|stk|tickSz|uly
ELONUSDT|ELON-USDT|0.0000001658|68239678|0.0000001655|235925692|0.0000001652|13320084186|0.0000001594|0.000000168|0.0000001587|130965.2474935705|796984734944|1707816694707|0.0000001658|0.0000001635||ELON|1|||||||SPOT||1635146385000|1|9999999999999999.0000000000000000|20000000|9999999999999999|1000000|5000000|5000000|9999999999999999.0000000000000000|9999999999999999.0000000000000000|5000000||USDT||live||0.0000000001|
AVIVEUSDT|AVIVE-USDT|0.02643|133.326|0.02648|1600|0.02643|3564.589|0.02562|0.02849|0.025|2142567.50543049|80453443.936|1707816697705|0.02641|0.0275||AVIVE|1|||||||SPOT||1702967068000|0.001|999999999999999.0000000000000000|20000000|999999999999999|1000000|1000000|1000000|999999999999999.0000000000000000|999999999999999.0000000000000000|10||USDT||live||0.00001|
XECUSDT|XEC-USDT|0.00003355|2181641.4|0.00003355|1000000|0.00003351|9603593.5|0.0000327|0.00003443|0.00003251|123577.304512195|3691246805.1|1707816695506|0.00003364|0.00003345||XEC|1|||||||SPOT||1626685200000|0.1|9999999999999999.0000000000000000|20000000|9999999999999999|1000000|1000000|1000000|9999999999999999.0000000000000000|9999999999999999.0000000000000000|100000||USDT||live||0.00000001|
YFIIUSDC|YFII-USDC|953.3|0.000348|957.1|0.118948|953.7|0.429904|934.2|992.7|923.9|7983.6873289|8.394566|1707816687105|972.8|937.2||YFII|1|||||||SPOT||1660023463000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|0.001||USDC||live||0.1|
AXSUSDT|AXS-USDT|7.714|16.815|7.715|68.925554|7.714|0.000369|7.617|7.97|7.492|1773291.005793103|228661.344215|1707816698015|7.84|7.792||AXS|1|||||||SPOT|5|1627376400000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|0.1||USDT||live||0.001|
XRPETH|XRP-ETH|0.0001989|431|0.0001988|1519.394|0.0001987|35.618|0.0002088|0.0002088|0.0001984|72.1460319843|357988.339|1707816696107|0.0001991|0.0002066||XRP|1|||||||SPOT||1548133413000|0.001|999999999999999.0000000000000000|20000000|999999999999999|1000000|1000000|1000000|999999999999999.0000000000000000|999999999999999.0000000000000000|1||ETH||live||0.0000001|
LQTYUSDT|LQTY-USDT|1.449|46.1606|1.45|180|1.449|90|1.409|1.456|1.391|412142.1337863|287712.1746|1707816697313|1.443|1.441||LQTY|1|||||||SPOT|5|1682050337000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|1||USDT||live||0.001|
BCHUSDC|BCH-USDC|278.4|1.77|278.5|0.5062|278.4|3.502|271.3|289.4|270.5|602851.98302|2148.6331|1707816693404|280.4|284.4||BCH|1|||||||SPOT|10|1605477603000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|0.01||USDC||live||0.1|
KLAYUSDC|KLAY-USDC|0.2309|1519.2147|0.2312|7874.9856|0.2309|83.5654|0.226|0.2342|0.2211|10393.0788332|45341.1192|1707816669813|0.2306|0.2294||KLAY|1|||||||SPOT||1658816142000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|10||USDC||live||0.0001|
VELOUSDT|VELO-USDT|0.005484|2006|0.005482|35625|0.005477|49352.79587|0.005328|0.0059|0.005251|1492324.581344123761|270756409.147033|1707816691504|0.005395|0.005412||VELO|1|||||||SPOT||1615194000000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|100||USDT||live||0.000001|
