gen_name|original_name|open|high|low|close|amount|vol|count|bid|bidSize|ask|askSize
SDUSDT|sdusdt|1.0217|1.0278|1.0149|1.0255|438830.2774798839|448969.10925006|9955|1.0177|17.9431|1.0305|145.9528
REEFUSDT|reefusdt|0.001521|0.001663|0.001508|0.001574|5809932931.459283|9194863.460147034|150255|0.00157|66694.9345|0.001574|27326.4702
SNSUSDT|snsusdt|0.02429|0.039488|0.023204|0.033805|41685597.34016081|1162602.4645843874|5097|0.03379|2519.68|0.0339|12429.095156637168
WOJAKUSDT|wojakusdt|0.00030172|0.00032758|0.00029408|0.0003228|14169010.897008065|4215.986586378515|122|0.00031643|92478.92|0.00032757|193117.04
LATUSDT|latusdt|0.007492|0.0077|0.007492|0.007597|29702.58|224.54889538|16|0.007672|3910.32|0.007889|2028.31
ELUUSDT|eluusdt|0.027819|0.030136|0.024813|0.026552|254394732.4521295|7109050.1654024655|156102|0.02655|407.3099|0.026556|422.5435
DOGEUSDD|dogeusdd|0.081446|0.083229|0.081052|0.082653|1684637.53|137596.14753117|1684|0.082617|367.14|0.082625|452.53
MGGUSDT|mggusdt|0.001403|0.001545|0.001308|0.001414|358158151.8230312|513848.7739971448|28417|0.001388|32412.225|0.001442|38965.291
SSVUSDT|ssvusdt|30.091|32.8987|29.9982|31.7076|18929.723559430433|587140.4026062|16245|31.6452|41.9775|31.7634|0.3823
FLRUSDT|flrusdt|0.0318|0.035|0.0316|0.0322|16033151.800117206|516989.7742608023|12081|0.0322|25245.9073|0.0324|19315.95
DOTBTC|dotbtc|0.00014507|0.00014801|0.00014507|0.00014776|675.6252679868439|0.098933942658|104|0.00014759|1.5|0.0001478|2.8078
BOSONUSDT|bosonusdt|0.2206|0.2433|0.2197|0.2231|555722.00590446|125943.54138259|2736|0.2209|107.6567|0.2259|340.8902
ARGUSDT|argusdt|1.6577|1.6848|1.615|1.631|447640.6386|737639.88013518|12843|1.6151|43.896|1.6441|15.714
BITCIUSDT|bitciusdt|0.001617|0.001698|0.001535|0.001597|21032943.98222423|33617.7746772292|1656|0.001565|37631.0|0.001625|15927.2034
BRISEUSDT|briseusdt|1.413e-07|1.468e-07|1.377e-07|1.449e-07|3834591609625.25|542757.8966796529|15874|1.447e-07|288489186.3|1.467e-07|240000000.0
FITFIUSDT|fitfiusdt|0.006267|0.006551|0.006219|0.006451|218712815.2037992|1389403.2748701228|18084|0.006443|2099.0192|0.006468|8101.6551
RIOUSDT|riousdt|0.7338|0.8497|0.7172|0.7942|1452728.7970721184|1125190.3525752712|13633|0.7897|28.8913|0.7987|46.8697
TITANUSDT|titanusdt|0.003994|0.004061|0.003826|0.004002|15711992.218386026|61972.56033631|1630|0.003902|85614.0877|0.004014|20570.4681
BTMUSDT|btmusdt|0.008494|0.009284|0.008494|0.009128|3628265.1893425863|32455.25823439|1711|0.009129|1369.17|0.00916|1521.1
CRTSUSDT|crtsusdt|0.0002158|0.0002325|0.00021296|0.0002159|70506486.27|15438.3953089007|954|0.00021296|96065.41|0.00021864|53273.47
BICOUSDT|bicousdt|0.3885|0.3973|0.3852|0.3953|1979164.6481786058|772149.95018818|21822|0.3952|1675.7436|0.3957|1675.7436
PONKEUSDT|ponkeusdt|0.025998|0.028999|0.024748|0.027405|51360304.672748424|1345343.0215383335|25865|0.0274|15621.2412|0.02741|695.15
NFTUSDC|nftusdc|4.44e-07|4.459e-07|4.397e-07|4.422e-07|295615317749.0|130578.0366694145|2719|4.399e-07|64032758.0|4.418e-07|410951640.0
BETHUSDT|bethusdt|2551.35|2694.08|2533.45|2645.14|651.9267384527337|1698880.6164581|42390|2640.02|0.011361|2659.91|0.01
NFTUSDD|nftusdd|4.438e-07|4.497e-07|4.367e-07|4.424e-07|236066203155.0|104234.9613844322|2597|4.412e-07|692783276.0|4.429e-07|2588369461.0
AITECHUSDT|aitechusdt|0.06509|0.07199|0.06477|0.06617|41258608.2249524|2742903.362122639|38806|0.06594|242.7204|0.06643|301.0097
HTXUSDT|htxusdt|1.527e-06|1.549e-06|1.517e-06|1.544e-06|54118470671464.81|82817511.2329217|49915|1.543e-06|1881783122.45|1.545e-06|5301388390.9518385
POLYXUSDT|polyxusdt|0.1701|0.1729|0.1684|0.1706|3170483.8952244762|540597.885503584|12679|0.1706|435.9051|0.1707|894.0204
OLANDUSDT|olandusdt|0.001333|0.001361|0.001302|0.001306|40983897.8789|55032.6623193373|51|0.001302|13473.9836|0.001306|391677.8139
FDTUSDT|fdtusdt|0.011|0.01114|0.01096|0.01099|29133675.428663347|320114.998632577|7097|0.01095|12498.8818|0.01104|9163.6363
ETHPYUSD|ethpyusd|2290.02|2290.02|2290.02|2290.02|0.0|0.0|0|2519.02|0.3587|4998.98|0.2557
DCUSDT|dcusdt|0.000644|0.000684|0.000644|0.000676|2024952990.9530222|1333483.867476398|14062|0.000675|118442.0186|0.000677|459499.964
GARIUSDT|gariusdt|0.030357|0.031446|0.029761|0.030161|20132727.43|609896.65293778|33234|0.03|43746.64|0.030323|771.1
STOREUSDT|storeusdt|0.032545|0.034415|0.032061|0.032766|276730.24072920444|9067.9899823482|243|0.031858|2396.4536|0.033024|931.3333
MAVIAUSDT|maviausdt|8.4371|8.571|7.3804|8.458|5631247.609114653|43584662.20675514|96467|8.4377|1.4412|8.4805|15.7801
AMPUSDT|ampusdt|0.003681|0.00375|0.003623|0.003666|120543279.15765801|442950.2696289272|9830|0.003666|8746.5227|0.003675|14372.7776
