currency|chain|name|deposit_enable|withdraw_enable
LHINU|LHINU-ERC20|Love Hate Inu|True|True
LING|LING-BSC|Lingose|True|True
LINK|LINK-ERC20|Chainlink|True|True
LINK|LINKK-OKTC|Chainlink|True|False
LITH|LITH-ERC20|Lithium Finance|True|True
LON|LON-ERC20|LON|True|True
LOOKS|LOOKS-ERC20|LooksRare|True|True
LPT|LPT-ERC20|Livepeer|True|True
LQTY|LQTY-ERC20|Liquity|True|True
LRC|LRC-ERC20|Loopring|True|True
LSK|LSK-Lisk|Lisk|True|True
LUNA|LUNA-Terra|Wrapped Terra|True|True
LUNC|LUNC-Terra Classic|Terra Luna Classic|True|True
MAGIC|MAGIC-Arbitrum One|Magic|True|True
MANA|MANA-ERC20|Decentraland|True|True
MASK|MASK-ERC20|Mask Network|True|True
MATIC|MATIC-ERC20|Polygon|True|True
MATIC|MATIC-Polygon|Polygon|True|True
MDT|MDT-ERC20|Measurable Data Token|True|True
MEME|MEME-ERC20|Memecoin|True|True
MENGO|MENGO-Chiliz Legacy Chain|Flamengo Fan Token|True|True
METIS|METIS-Metis|MetisDao|True|True
METIS|METIS-Metis (Token Transfer)|MetisDao|True|False
MILO|MILO-BSC|Milo Inu|True|True
MINA|MINA-Mina|Mina Protocol|True|True
MKR|MKR-ERC20|Maker|True|True
MLN|MLN-ERC20|Enzyme|True|True
MOVEZ|MOVEZ-BSC|MOVEZ.me|True|True
MOVR|MOVR-Moonriver|Moonriver|True|True
MRST|MRST-Polygon|Mars Token|True|True
MXC|MXC-Layer 3|MXC|True|True
MYRIA|MYRIA-ERC20|Myria|True|True
NEAR|NEAR-NEAR|Near Protocol|True|True
NEO|NEO-N3|NEO|True|True
NFT|NFT-TRC20|APENFT|True|True
NMR|NMR-ERC20|Numeraire|True|True
NULS|NULS-NULS|NULS|True|True
NYM|NYM-ERC20|Nym|True|True
OAS|OAS-OASYS|OASYS|True|True
OKDOT2|OKDOT2-ERC20|OKDOT2|False|False
OKT|OKT-OKTC|OKTC Token|True|True
OM|OM-ERC20|MantraDAO|True|True
OMG|OMG-ERC20|OmiseGO|True|True
OMI|OMI-ERC20|ECOMI|True|True
OMN|OMN-Omega Chain|OMEGA|True|True
ONE|ONE-Harmony|Harmony|True|True
ONT|ONT-Ontology|Ontology|True|True
OP|OP-Optimism|Optimism|True|True
ORB|ORB-Polygon|Orbcity|True|True
ORBS|ORBS-ERC20|Orbs Network|True|True
ORDI|ORDI-BRC20|ordi|True|True
OXT|OXT-ERC20|Orchid|True|True
PCI|PCI-ERC20|Paycoin|True|True
PEOPLE|PEOPLE-ERC20|ConstitutionDAO|True|True
PEPE|PEPE-ERC20|Pepe|True|True
PERP|PERP-ERC20|Perpetual Protocol|True|True
PHA|PHA-Khala|Phala Network|True|True
PIT|PIT-BSC|Pitbull|True|True
POLS|POLS-ERC20|Polkastarter|True|True
POLYDOGE|POLYDOGE-Polygon|PolyDoge|True|True
POR|POR-Chiliz Legacy Chain|Portugal National Team Fan Token|True|True
PRQ|PRQ-ERC20|PARSIQ|True|True
PSTAKE|PSTAKE-ERC20|pSTAKE Finance|True|True
PYTH|PYTH-Solana|Pyth Network|True|True
QTUM|QTUM-Quantum|Qtum|True|True
RACA|RACA-BSC|Radio Caca|True|True
RADAR|RADAR-ERC20|DappRadar|True|True
RAY|RAY-Solana|Raydium|True|True
RDNT|RDNT-Arbitrum One|Radiant Capital|True|True
REN|REN-ERC20|Ren|True|True
REP|REP-ERC20|Reputation|True|True
REVV|REVV-ERC20|REVV|True|True
RIO|RIO-Stellar Lumens|RIO|False|False
RNDR|RNDR-ERC20|Render|True|True
RON|RON-Ronin|Ronin|True|True
RPL|RPL-ERC20|Rocket Pool|True|True
RSR|RSR-ERC20|Reserve Rights Token|True|True
RSS3|RSS3-ERC20|RSS3|True|True
RVN|RVN-Ravencoin|Ravencoin|True|True
SAMO|SAMO-Solana|Samoyed Coin|True|True
SAND|SAND-ERC20|SAND|True|True
SATS|SATS-BRC20|SATS|True|True
SC|SC-Siacoin|Siacoin|True|True
SD|SD-ERC20|Stader|True|True
SHIB|SHIB-ERC20|Shiba Inu|True|True
SHIB|SHIBK-OKTC|Shiba Inu|True|False
SIS|SIS-ERC20|Symbiosis Finance|True|True
SKEB|SKEB-ERC20|Skeb Coin|True|True
SKL|SKL-ERC20|SKALE|True|True
SLP|SLP-ERC20|Smooth Love Potion|True|True
SNT|SNT-ERC20|Status|True|True
SNX|SNX-ERC20|Synthetix Network Token|True|True
SOL|SOL-Solana|Solana|True|True
SPELL|SPELL-ERC20|Spell Token|True|True
SPURS|SPURS-Chiliz Chain|Tottenham Hotspur|True|True
SRM|SRM-Solana|Serum|False|True
SSV|SSV-ERC20|SSV Network|True|True
SSWP|SSWP-SUI|Suiswap Token|True|True
STARL|STARL-ERC20|StarLink|True|True
STC|STC-BSC|Satoshi Island Coin|True|True
STETH|STETH-ERC20|Lido Staked Ether|True|True
STORJ|STORJ-ERC20|Storj|True|True
STRK|STRK-Starknet|Starknet|True|False
STX|STX-l-Stacks|Stacks|True|True
SUI|SUI-SUI|Sui|True|True
SUN|SUN-TRC20|SUN|True|True
SUSHI|SUSHI-ERC20|SushiSwap|True|True
SUSHI|SUSHIK-OKTC|SushiSwap|True|False
SWEAT|SWEAT-ERC20|SWEAT|True|True
SWEAT|SWEAT-NEAR|SWEAT|True|True
SWFTC|SWFTC-ERC20|SwftCoin|True|True
T|T-ERC20|Threshold Network Token|True|True
TAKI|TAKI-Solana|Taki|True|True
TAMA|TAMA-Polygon|Tamadoge|True|True
THETA|THETA-Theta|THETA|True|True
THG|THG-BSC|Thetan Arena|True|True
TIA|TIA-Celestia|Celestia|True|True
TON|TON-TON|Toncoin|True|True
TRA|TRA-Chiliz Legacy Chain|Trabzonspor Fan Token|True|True
TRB|TRB-ERC20|Tellor|True|True
TRX|TRX-TRC20|TRON|True|True
TRX|TRXK-OKTC|TRON|True|False
TUP|TUP-ERC20|Tenup|True|True
TURBO|TURBO-ERC20|Turbo|True|True
TUSD|TUSD-ERC20|TrueUSD|True|True
UMA|UMA-ERC20|UMA|True|True
UNI|UNI-ERC20|Uniswap|True|True
UNI|UNIK-OKTC|Uniswap|True|False
USTC|USTC-Terra Classic|TerraClassicUSD|True|True
UTK|UTK-ERC20|UTRUST|True|True
VELA|VELA-Arbitrum One|Vela Token|True|True
VELO|VELO-Stellar Lumens|Velo|False|False
VELODROME|VELODROME-Optimism (V2)|Velodrome Finance|True|True
VRA|VRA-ERC20|Verasity|True|True
VSYS|VSYS-VSYSTEMS|V Systems|True|True
WAXP|WAXP-Wax|WAX|True|True
WAXP|WAXP-ERC20|WAX|True|True
WBTC|WBTC-ERC20|Wrapped Bitcoin|True|True
WBTC|WBTCK-OKTC|Wrapped Bitcoin|True|False
WGRT|WGRT-WGRT|WaykiChain Governance Coin|False|False
WIFI|WIFI-Polygon|WiFi Map|True|True
WIN|WIN-TRC20|WINkLink|True|True
WING|WINGK-OKTC|Wing|False|True
WLD|WLD-ERC20|Worldcoin|True|True
WLD|WLD-Optimism|Worldcoin|True|True
WNCG|WNCG-ERC20|Wrapped Nine Chronicles Gold|True|True
WOO|WOO-ERC20|WOO Network|True|True
WSM|WSM-BSC|Wall Street Memes|True|True
WXT|WXT-ERC20|Wirex Token|True|True
XAUT|XAUT-ERC20|Tether Gold|True|True
XCH|XCH-Chia|Chia Network|True|True
XEC|XEC-XEC|eCash|True|True
XEM|XEM-New Economy Movement|NEM|True|True
XETA|XETA-XANA|XANA|True|True
XLM|XLM-Stellar Lumens|Stellar|False|False
XNO|XNO-Nano|Nano|False|False
XPR|XPR-ERC20|Proton|True|True
XTZ|XTZ-Tezos|Tezos|True|True
YFI|YFI-ERC20|YEARN.FINANCE|True|True
YFII|YFII-ERC20|YFII|True|True
YGG|YGG-ERC20|Yield Guild Games|True|True
ZBC|ZBC-Solana|Zebec Protocol|True|True
ZEC|ZEC-Zcash|Zcash|False|True
ZETA|ZETA-ZetaChain|ZetaChain|True|True
ZIL|ZIL-Zilliqa|Zilliqa|True|True
ZRX|ZRX-ERC20|0x|True|True
