currency|chain|display_name|deposit_status|withdraw_status
gtc|gtc|ERC20|prohibited|prohibited
gtc|hrc20gtc|HECO|prohibited|prohibited
hydro|hot|ERC20|prohibited|allowed
hydro|hrc20hot|HECO|prohibited|prohibited
get|get|ERC20|prohibited|prohibited
get|hrc20get|HECO|prohibited|prohibited
pc|pc|ERC20|prohibited|prohibited
ren|hrc20ren|HECO|prohibited|prohibited
ren|ren|ERC20|allowed|allowed
ae|ae|ERC20|prohibited|prohibited
ae|ae1|AE|prohibited|allowed
bkbt|bkbt|ERC20|prohibited|prohibited
inc|inc|ERC20|prohibited|prohibited
gve|gve1|ERC20|prohibited|prohibited
seele|hrc20seele|HECO|prohibited|prohibited
seele|seele1|ERC20|prohibited|prohibited
seele|seele2|SEELE|prohibited|allowed
fti|fti|ERC20|allowed|prohibited
fti|fti1|TRC20|allowed|allowed
ekt|ekt1|ERC20|prohibited|prohibited
xmx|xmx|ERC20|prohibited|prohibited
ycc|hrc20ycc|HECO|prohibited|prohibited
ycc|ycc|ERC20|prohibited|allowed
fair|fair|ERC20|prohibited|prohibited
ssp|ssp|ERC20|prohibited|prohibited
eon|eon|ERC20|prohibited|prohibited
eop|eop|ERC20|prohibited|prohibited
lym|lym1|ERC20|allowed|prohibited
zjlt|zjlt|ERC20|prohibited|prohibited
meetone|meetone1|EOS|prohibited|prohibited
pnt|pnt|ERC20|prohibited|prohibited
idt|hrc20idt|HECO|prohibited|prohibited
idt|idt|ERC20|prohibited|prohibited
dac|dac|ERC20|prohibited|prohibited
bcv|bcv1|BCV|prohibited|prohibited
sexc|sexc|ERC20|prohibited|prohibited
tos|tos|ERC20|prohibited|prohibited
musk|hrc20musk|HECO|prohibited|prohibited
musk|musk1|ERC20|allowed|allowed
add|add|EOS|prohibited|prohibited
mt|mt|ERC20|allowed|allowed
kcash|hrc20kcash|HECO|prohibited|prohibited
kcash|kcash|ERC20|prohibited|prohibited
iq|iq|EOS|prohibited|prohibited
ncc|ncc|ERC20|prohibited|prohibited
rccc|rccc1|TRC20|allowed|prohibited
hpt|hpt|ERC20|prohibited|prohibited
hpt|hrc20hpt|HECO|prohibited|prohibited
cvnx|cvn1|ERC20|prohibited|prohibited
rte|rte|ERC20|prohibited|prohibited
trio|trio|ERC20|prohibited|prohibited
grs|grs|GRS|prohibited|allowed
ardr|ardr|ARDR|allowed|allowed
nano|nano|NANO|allowed|allowed
zen|zen|ZEN|allowed|allowed
rbtc|rbtc|RBTC|prohibited|prohibited
bsv|bsv|BSV|allowed|allowed
bsv|hbsv|ERC20|allowed|prohibited
bsv|hrc20bsv|HECO|prohibited|prohibited
ong|ong1|ONTOLOGY|prohibited|prohibited
mxc|mxc|ERC20|allowed|allowed
xtz|hrc20xtz|HECO|prohibited|prohibited
xtz|hxtz|ERC20|allowed|allowed
xtz|xtz|XTZ|allowed|allowed
nuls|nuls1|NULS|allowed|allowed
cova|cova|ERC20|prohibited|prohibited
lamb|hrc20lamb|HECO|prohibited|prohibited
lamb|lamb|ERC20|allowed|allowed
lamb|lamb1|LAMB|allowed|allowed
cvnt|cvnt1|CVNT1|prohibited|prohibited
cvnt|trc20cvnt|TRC20|prohibited|prohibited
dock|dock2|DOCK|prohibited|allowed
btt|btt1|TRC20|allowed|allowed
btt|btt2|BTT|allowed|allowed
sc|sc|SC|allowed|allowed
kmd|kmd|KMD|allowed|allowed
loom|loom1|ERC20|prohibited|prohibited
nexo|hrc20nexo|HECO|prohibited|prohibited
nexo|nexo|ERC20|allowed|allowed
etn|etn|ETN|prohibited|prohibited
npxs|hrc20npxs|HECO|prohibited|prohibited
npxs|npxs|ERC20|prohibited|prohibited
top|top1|TOP|allowed|allowed
doge|doge|DOGE|allowed|allowed
doge|hrc20doge|HECO|prohibited|prohibited
iris|iris1|IRIS|prohibited|prohibited
hvt|hvt|EOS|prohibited|prohibited
tfuel|tfuel|THETA|prohibited|allowed
ugas|ugas|ERC20|prohibited|prohibited
ugas|ugas1|UGAS|prohibited|prohibited
atom|atom1|ATOM1|allowed|allowed
tt|hrc20tt|HECO|prohibited|prohibited
tt|tt|TT|allowed|allowed
new|newton|NEWTON|allowed|allowed
rsr|hrc20rsr|HECO|prohibited|prohibited
rsr|rsr1|ERC20|allowed|allowed
atp|atp|NRC20|prohibited|allowed
nkn|nkn|ERC20|allowed|allowed
algo|algo|ALGO|allowed|allowed
ogo|ogo|ERC20|prohibited|prohibited
cro|cro|ERC20|prohibited|prohibited
cro|cro2|CRO|prohibited|prohibited
cro|hrc20cro|HECO|prohibited|prohibited
egt|egt|ERC20|prohibited|prohibited
akro|akro|ERC20|allowed|allowed
akro|hrc20akro|HECO|prohibited|prohibited
pvt|pvt|ERC20|prohibited|prohibited
cnns|cnns|ERC20|prohibited|prohibited
cnns|hrc20cnns|HECO|prohibited|prohibited
gt|gt|ERC20|allowed|allowed
hbc|hbc|ERC20|prohibited|prohibited
hbc|hrc20hbc|HECO|prohibited|prohibited
pizza|pizza|EOS|prohibited|prohibited
vsys|vsys|VSYS|allowed|allowed
fsn|fsn1|FSN|allowed|allowed
cre|cre|ERC20|allowed|allowed
ftt|ftt|ERC20|allowed|allowed
ftt|hrc20ftt|HECO|prohibited|prohibited
lol|lol|IOST|prohibited|allowed
wxt|erc20wxt|ERC20|allowed|prohibited
wxt|wxt1|AVAXCCHAIN|allowed|allowed
arpa|arpa|ERC20|allowed|allowed
arpa|hrc20arpa|HECO|prohibited|prohibited
for|for|ERC20|allowed|allowed
for|hrc20for|HECO|prohibited|prohibited
vidy|vidy|ERC20|prohibited|prohibited
node|node|ERC20|prohibited|prohibited
bhd|bhd|BHD|prohibited|allowed
one|one1|ONE|allowed|allowed
em|em1|EM|allowed|allowed
mx|hrc20mx|HECO|prohibited|prohibited
mx|mx|ERC20|allowed|allowed
ckb|ckb|CKB|allowed|allowed
skm|hrc20skm|HECO|prohibited|prohibited
skm|skm1|ERC20|prohibited|prohibited
