gen_name|original_name|bidPrice|bidQty|askPrice|askQty|status|baseAsset|baseAssetPrecision|quoteAsset|quotePrecision|quoteAssetPrecision|baseCommissionPrecision|quoteCommissionPrecision|orderTypes|isSpotTradingAllowed|isMarginTradingAllowed|quoteAmountPrecision|baseSizePrecision|permissions|filters|maxQuoteAmount|makerCommission|takerCommission|quoteAmountPrecisionMarket|maxQuoteAmountMarket|fullName
CQTUSDT|CQTUSDT|0.30131|171.48|0.30653|391.28|ENABLED|CQT|2|USDT|5|5|2|5|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0.0001|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Covalent
SWOUSDT|SWOUSDT|0.01100|5773.05|0.01178|32065.02|ENABLED|SWO|2|USDT|5|5|2|5|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Sword Magic Token
TYPEUSDT|TYPEUSDT|0.003470|4852.01|0.003490|4852.01|ENABLED|TYPE|2|USDT|6|6|2|6|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|TypeIt
KROMUSDT|KROMUSDT|0.03503|614.12|0.03582|1785.46|ENABLED|KROM|2|USDT|5|5|2|5|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0.01|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Kromatika
SIMUSDT|SIMUSDT|0.0000452|3500957.55|0.0000516|270025.56|ENABLED|SIM|2|USDT|7|7|2|7|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|SIMU
SNEKUSDT|SNEKUSDT|0.0010798|172226.25|0.0010953|46389.92|ENABLED|SNEK|2|USDT|7|7|2|7|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|SNEK
BLYUSDT|BLYUSDT|0.004988|2405.77|0.005060|1205.77|ENABLED|BLY|2|USDT|6|6|2|6|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|5|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Blocery
EMPUSDT|EMPUSDT|0.010165|2279.14|0.010396|9859.03|ENABLED|EMP|2|USDT|6|6|2|6|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0.01|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|ExportMortosPlatform
SWCHUSDT|SWCHUSDT|0.5176|67.81|0.5203|2.54|ENABLED|SWCH|2|USDT|4|4|2|4|['LIMIT', 'MARKET', 'LIMIT_MAKER']|False|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|SwissCheese
TOKKIUSDT|TOKKIUSDT|0.01282|1767.79|0.01371|616.64|ENABLED|TOKKI|2|USDT|5|5|2|5|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0.1|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|CRYPTOKKI
WGTUSDT|WGTUSDT|0.05588|1431.63|0.05599|4248.31|ENABLED|WGT|2|USDT|5|5|2|5|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Web3Games.com
ZBUUSDT|ZBUUSDT|3.2051|19.55|3.2098|11.73|ENABLED|ZBU|2|USDT|4|4|2|4|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|ZEEBU
HAHAUSDT|HAHAUSDT|0.000005848|7694938.44|0.000006200|877494.83|ENABLED|HAHA|2|USDT|9|9|2|9|['LIMIT', 'MARKET', 'LIMIT_MAKER']|False|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Hasaki
RBXUSDT|RBXUSDT|0.14494|103.49|0.15000|12262.74|ENABLED|RBX|2|USDT|5|5|2|5|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|RabbitX
PIXELUSDT|PIXELUSDT|0.5751|977.70|0.5757|983.35|ENABLED|PIXEL|2|USDT|4|4|2|4|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0.001|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Pixels
FARMSUSDT|FARMSUSDT|0.050266|852.41|0.050697|433.31|ENABLED|FARMS|2|USDT|6|6|2|6|['LIMIT', 'MARKET', 'LIMIT_MAKER']|False|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Farmsent
ETHEREUM2USDT|ETHEREUM2USDT|0.00000009097|954153036.02|0.00000009497|106574101.93|ENABLED|ETHEREUM2|2|USDT|11|11|2|11|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|ETHEREUM2
BABYDOGE2USDT|BABYDOGE2USDT|0.0000000000005196|82254410642802|0.0000000000005416|8341595777923|ENABLED|BABYDOGE2|0|USDT|16|16|0|16|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|BABYDOGE2.0
DRAGONERAUSDT|DRAGONERAUSDT|0.00001532|736013.42|0.00001819|1324118.65|ENABLED|DRAGONERA|2|USDT|8|8|2|8|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|DragonEra
QDOUSDT|QDOUSDT|0.07961|150.73|0.08093|136.61|ENABLED|QDO|2|USDT|5|5|2|5|['LIMIT', 'MARKET', 'LIMIT_MAKER']|False|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Qoodo.io
BABYELONUSDT|BABYELONUSDT|0.000000000003709|9000000000000|0.000000000003744|4988457547495|ENABLED|BABYELON|0|USDT|15|15|0|15|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Baby Elon
FOXIFYUSDT|FOXIFYUSDT|0.5938|16.00|0.5960|9.01|ENABLED|FOXIFY|2|USDT|4|4|2|4|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Foxify
KABOSUUSDT|KABOSUUSDT|0.000001237|18538348.86|0.000001290|2706844.55|ENABLED|KABOSU|2|USDT|9|9|2|9|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Kabosu
MEMEMEUSDT|MEMEMEUSDT|0.000005038|29773719.73|0.000005221|548997.62|ENABLED|MEMEME|2|USDT|9|9|2|9|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Mememe
DCBUSDT|DCBUSDT|0.06124|261.26|0.06169|1660.04|ENABLED|DCB|2|USDT|5|5|2|5|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Decubate
RUNEUSDT|RUNEUSDT|5.340|519.36|5.341|2534.04|ENABLED|RUNE|2|USDT|3|3|2|3|['LIMIT', 'MARKET', 'LIMIT_MAKER']|False|False|5.000000000000000000|1|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|THORChain
SOLSUSDT|SOLSUSDT|0.01264|612.25|0.01328|1200.00|ENABLED|SOLS|2|USDT|5|5|2|5|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0.001|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|SOLS
BFTUSDT|BFTUSDT|0.09592|5212.75|0.09641|120.03|ENABLED|BFT|2|USDT|5|5|2|5|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0.01|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Brazil National Fan
WINGUSDT|WINGUSDT|9.41|1712.29|9.42|8.57|ENABLED|WING|2|USDT|2|2|2|2|['LIMIT', 'MARKET', 'LIMIT_MAKER']|False|False|5.000000000000000000|0.0001|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|WING
ZEROUSDT|ZEROUSDT|0.3755|61.55|0.3868|77.90|ENABLED|ZERO|2|USDT|4|4|2|4|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|ZERO
LFGUSDT|LFGUSDT|0.00028403|93400.99|0.00030281|241674.39|ENABLED|LFG|2|USDT|8|8|2|8|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0.001|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Gamerse
BABYX2USDT|BABYX2USDT|0.000000000000000613|34353520721110064|0.000000000000000656|1866756816650527|ENABLED|BABYX2|0|USDT|18|18|0|18|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|BabyX 2.0
SOBERUSDT|SOBERUSDT|0.0004602|101007.86|0.0004998|25569.94|ENABLED|SOBER|2|USDT|7|7|2|7|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Solabrador
UNPUSDT|UNPUSDT|0.06603|999.00|0.07045|1941.14|ENABLED|UNP|2|USDT|5|5|2|5|['LIMIT', 'MARKET', 'LIMIT_MAKER']|False|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Unipoly Coin
XINUUSDT|XINUUSDT|0.00000000000005802|88235298977998|0.00000000000006754|247524752475247|ENABLED|XINU|0|USDT|17|17|0|17|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|X INU
PRNTUSDT|PRNTUSDT|0.9947|8.83|1.0204|27.98|ENABLED|PRNT|2|USDT|4|4|2|4|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Prime Numbers Labs
HOTUSDT|HOTUSDT|0.002402|833995.20|0.002403|23776.80|ENABLED|HOT|2|USDT|6|6|2|6|['LIMIT', 'MARKET', 'LIMIT_MAKER']|False|False|5.000000000000000000|0.0001|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Holo Token
XPBUSDT|XPBUSDT|0.2080|454.19|0.2154|357.82|ENABLED|XPB|2|USDT|4|4|2|4|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|PowBlocks
COFUSDT|COFUSDT|0.0000002582|94575505.19|0.0000002855|170727373.46|ENABLED|COF|2|USDT|10|10|2|10|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Espresso Ex
BUPUSDT|BUPUSDT|0.002500|4000.00|0.002762|26252.78|ENABLED|BUP|2|USDT|6|6|2|6|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0.01|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|BuildUp
SCRTUSDT|SCRTUSDT|0.5291|3.61|0.5319|43.50|ENABLED|SCRT|2|USDT|4|4|2|4|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0.0001|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|SCRT
MARSHUSDT|MARSHUSDT|0.13845|176.88|0.14316|1991.65|ENABLED|MARSH|2|USDT|5|5|2|5|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0.0001|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Unmarshal
ASTRAUSDT|ASTRAUSDT|0.003599|3334.26|0.003656|22447.00|ENABLED|ASTRA|2|USDT|6|6|2|6|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Astra Protocol
NODLUSDT|NODLUSDT|0.006660|15023.42|0.006714|1655.46|ENABLED|NODL|2|USDT|6|6|2|6|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0.01|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Nodle
VRUSDT|VRUSDT|0.04432|330.50|0.04496|1231.46|ENABLED|VR|2|USDT|5|5|2|5|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Victoria VR
SERUSDT|SERUSDT|0.0043210|11439.39|0.0044495|2146.19|ENABLED|SER|2|USDT|7|7|2|7|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0.01|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Secretum
WOMUSDT|WOMUSDT|0.03270|751.08|0.03356|2263.04|ENABLED|WOM|2|USDT|5|5|2|5|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0.01|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Wombat Exchange
CRAZYDAVEUSDT|CRAZYDAVEUSDT|0.000696|45582.58|0.000697|129951.33|ENABLED|CRAZYDAVE|2|USDT|6|6|2|6|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Crazy Dave
ORDI2USDT|ORDI2USDT|0.0000000000001427|2544020824947442|0.0000000000001508|86619346641538|ENABLED|ORDI2|0|USDT|16|16|0|16|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|ORDI 2.0
STARLUSDT|STARLUSDT|0.0000031305|3988021.08|0.0000031418|3470258245.09|ENABLED|STARL|2|USDT|10|10|2|10|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0.001|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|StarLink
SOLS1USDT|SOLS1USDT|1.505|4.66|1.525|97.57|ENABLED|SOLS1|2|USDT|3|3|2|3|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|SOLS
OPULUSDT|OPULUSDT|0.10940|561.81|0.11049|1478.08|ENABLED|OPUL|2|USDT|5|5|2|5|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0.01|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Opulous
PUMPITUSDT|PUMPITUSDT|0.00006684|523638.53|0.00008217|402376.16|ENABLED|PUMPIT|2|USDT|8|8|2|8|['LIMIT', 'MARKET', 'LIMIT_MAKER']|True|False|5.000000000000000000|0|['SPOT']|[]|2000000.000000000000000000|0|0|5.000000000000000000|100000.000000000000000000|Pump It Up
