gen_name|original_name|open|high|low|close|amount|vol|count|bid|bidSize|ask|askSize
ARGUSDT|argusdt|1.6605|2.75|1.63|1.645|441746.16252075037|734576.8309897957|12781|1.6302|19.6332|1.6627|18.4135
BITCIUSDT|bitciusdt|0.001502|0.001545|0.001483|0.001509|22463615.264847368|33982.1635433505|1695|0.001501|111723.0|0.001517|7697.1658
BRISEUSDT|briseusdt|1.502e-07|1.527e-07|1.452e-07|1.495e-07|653562588675.9753|98294.70469163253|5096|1.495e-07|120124049.66|1.503e-07|162953954.64
FITFIUSDT|fitfiusdt|0.006792|0.006913|0.006488|0.006651|214747295.0918|1436368.5396704157|18592|0.006636|1838.9747|0.006665|8970.574
RIOUSDT|riousdt|0.9268|1.0147|0.9145|0.9369|1260260.7888723856|1184056.61059923|14377|0.9315|10.8426|0.9414|14.03
TITANUSDT|titanusdt|0.00417|0.004244|0.003936|0.004186|17251301.85259581|71570.2468893287|1828|0.004181|17492.9829|0.00424|16400.1478
BTMUSDT|btmusdt|0.009499|0.009539|0.008558|0.009159|3592249.3418277986|33688.68743036|1751|0.008996|2329.39|0.009303|12514.55
CRTSUSDT|crtsusdt|0.0002158|0.0002172|0.0002154|0.0002171|73180417.63|15850.4735128127|965|0.00021563|106808.71|0.00021818|93187.96
BICOUSDT|bicousdt|0.4538|0.4546|0.4369|0.4484|1639064.049249944|736481.78752677|20409|0.4484|2121.2788|0.4485|150.0426
PONKEUSDT|ponkeusdt|0.040695|0.044708|0.034821|0.040012|37043290.808655165|1483352.9614646558|27550|0.039787|777.3944|0.040187|1315.5151
NFTUSDC|nftusdc|4.503e-07|4.526e-07|4.452e-07|4.493e-07|227858393910.0|102289.0497047707|1867|4.491e-07|233777022.0|4.502e-07|81295189.0
BETHUSDT|bethusdt|2904.49|2979.26|2851.66|2919.64|601.1357122595257|1752677.84798151|43702|2909.36|0.01031|2932.02|0.047172
NFTUSDD|nftusdd|4.509e-07|4.519e-07|4.459e-07|4.502e-07|191991729980.0|86239.7008342624|2309|4.488e-07|1349358266.0|4.506e-07|142820031.0
AITECHUSDT|aitechusdt|0.11457|0.15034|0.11337|0.13123|19574230.784468584|2572246.1797302905|38092|0.13028|126.6497|0.13204|125.6793
HTXUSDT|htxusdt|1.611e-06|1.72e-06|1.606e-06|1.698e-06|17661653145258.25|28877205.13534143|36702|1.698e-06|420208927.66|1.699e-06|3020075572.54506
POLYXUSDT|polyxusdt|0.1909|0.1914|0.183|0.1883|97071.4584|18319.82246451|99|0.1881|8293.1683|0.1884|8247.2482
OLANDUSDT|olandusdt|0.001441|0.001518|0.001434|0.001434|36229285.78994248|54363.5928167244|53|0.001436|13299.5218|0.001472|17337.8791
FDTUSDT|fdtusdt|0.01053|0.01111|0.01007|0.01017|29894707.527749542|319488.5613811|7092|0.01002|4790.41|0.01036|52651.8223
ETHPYUSD|ethpyusd|2290.02|2290.02|2290.02|2290.02|0.0|0.0|0|2519.02|0.0158|4998.48|0.0155
DCUSDT|dcusdt|0.000742|0.000752|0.000698|0.000714|2030584943.9469817|1490668.842566879|17756|0.00071|231140.2973|0.000719|36726.7923
GARIUSDT|gariusdt|0.030825|0.033|0.030488|0.031073|19261475.99243216|607108.04251231|32912|0.030816|510.09|0.03133|11257.16
STOREUSDT|storeusdt|0.033371|0.034175|0.033347|0.034036|186655.21604029197|6244.4404492513|192|0.03384|775.5648|0.034232|2000.0
MAVIAUSDT|maviausdt|9.352|9.3751|7.625|8.2122|3999976.9936933257|34540382.43007235|72959|8.2038|8.3404|8.2202|16.1084
AMPUSDT|ampusdt|0.003949|0.004271|0.003879|0.003925|117377743.94692592|462723.7279557089|10209|0.003909|77495.3532|0.003945|4790.3481
JUPUSDT|jupusdt|0.535|0.5408|0.5113|0.5262|47228383.184386715|24893462.17264163|58090|0.5256|6848.5|0.5268|1503.6338
BNSXUSDT|bnsxusdt|0.2589|0.2822|0.2455|0.2569|2791156.3135490655|723213.9366514|14320|0.2572|41.6699|0.263|48.1322
HOTUSDT|hotusdt|0.002311|0.002627|0.002258|0.002449|477241294.114907|1149219.6193643336|13858|0.002432|74398.7912|0.002465|81465.8569
GLMUSDT|glmusdt|0.2371|0.3866|0.236|0.3454|419565.82911185664|121645.58744543|2705|0.3446|87.0318|0.3484|578.1768
ETHBTC|ethbtc|0.055785|0.057301|0.05577|0.05605|260.756|14.7157448488|4044|0.056075|0.5034|0.056092|1.0
BTCPYUSD|btcpyusd|47189.07|47189.07|47189.07|47189.07|0.0|0.0|0|51465.25|0.000769|59826.06|0.06134
VSYSUSDT|vsysusdt|0.001342|0.001377|0.001294|0.00131|5334300.970050777|7056.739679|276|0.001311|211528.0|0.001328|34157.96
TPYUSDT|tpyusdt|0.5926|0.7525|0.591|0.6613|2307626.715111797|1410531.4919583923|20228|0.6606|101.8688|0.6621|7195.901895181996
NFTUSDT|nftusdt|4.505e-07|4.519e-07|4.457e-07|4.493e-07|16714488142720.072|7503406.634473494|124218|4.492e-07|36353860.0|4.495e-07|81295189.0
BATUSDT|batusdt|0.2599|0.2667|0.2563|0.2637|11614230.94080181|3038112.20418201|26079|0.2636|2546.15|0.2638|191.19
ACSUSDT|acsusdt|0.002604|0.00262|0.002533|0.002583|376910076.1034317|974025.78927234|10628|0.002564|10181.1342|0.0026|3644223.141914423
KUBEUSDT|kubeusdt|0.007704|0.00773|0.007317|0.007406|4597725.518577639|34353.5108407597|1721|0.007322|3595.3528|0.007479|1424.0881
H9H9X6Z7|h9h9x6z7|1.17|1.17|1.17|1.17|0.0|0.0|0|0.0|0.0|0.0|0.0
WINUSDD|winusdd|0.00011137|0.00011445|0.00010911|0.00011082|2256490673.63|251141.1647827462|1831|0.00010995|25940000.0|0.00011191|317575.46
REVOUSDT|revousdt|0.01518|0.019688|0.015019|0.018525|81697022.93992978|1327619.9694604855|18825|0.01852|16297.1418|0.018533|66874.4136
SNTUSDT|sntusdt|0.043617|0.044339|0.042361|0.043304|5026662.136305226|218711.2577462586|8058|0.043173|4625.9822|0.043412|21114.3695
FLOKIUSDT|flokiusdt|3.465e-05|3.633e-05|3.401e-05|3.499e-05|47262300131.62391|1653034.7253840584|39523|3.497e-05|4322231.63|3.501e-05|4643678.94
XMRUSDT|xmrusdt|120.0|124.94|120.0|121.53|10096.34745841722|1229245.38055014|17163|120.81|3.1311|121.89|3.7054
ZKPUSDT|zkpusdt|0.02426|0.0244|0.02416|0.02438|3222382.68080485|78311.9771794751|1308|0.02436|2335.5106|0.0244|1644.9519
CHRUSDT|chrusdt|0.448494|0.451031|0.420309|0.43264|337087.8923147377|147728.89315448|4864|0.431092|4984.33|0.43445|346.54
XCADUSDT|xcadusdt|1.5361|1.5595|1.4771|1.4786|455526.6722|691503.39493165|2682|1.4692|19.9753|1.4857|190.2312
DYDXUSDT|dydxusdt|3.1847|3.1927|3.0008|3.0792|516121.4200278574|1612645.12836976|18405|3.0771|534.2832|3.0802|534.2832
MANAUSDT|manausdt|0.5071|0.5197|0.5004|0.5111|27030118.48878587|13772526.24260828|134518|0.5109|79.06|0.5114|1546.67
A8S83LD8F8|a8s83ld8f8|7.32|7.32|7.32|7.32|0.0|0.0|0|0.0|0.0|0.0|0.0
NYMUSDT|nymusdt|0.2129|0.2286|0.21|0.2126|1718855.0354154112|364844.39468153|7977|0.2101|51.8444|0.2151|69.6035
ETCUSDT|etcusdt|26.7846|27.8742|26.4452|27.0948|611025.2735213094|16499293.340048155|63186|27.0911|3.2459|27.0985|3.2458
BORINGUSDT|boringusdt|0.003802|0.00417|0.00371|0.003777|14692455.905609675|56026.96640289|2232|0.003753|19424.73|0.003787|2819.37
H8H8X6Z7|h8h8x6z7|0.00242|0.00242|0.00242|0.00242|0.0|0.0|0|0.0|0.0|0.0|0.0
ORBRUSDT|orbrusdt|0.3532|0.3533|0.34|0.3512|636312.2179453308|218210.50523861|818|0.3504|387.7529|0.3546|58.8237
SEIUSDT|seiusdt|0.9558|0.9614|0.8863|0.9359|33850965.15033526|31425238.507585235|310203|0.9357|122.9835|0.9363|27.1622
WBTCBTC|wbtcbtc|1.0048|1.0048|1.0048|1.0048|0.0|0.0|0|0.9916|0.0004|1.0048|0.00115062699044586
WSMUSDT|wsmusdt|0.007639|0.0085|0.007588|0.008253|162923003.71988252|1263126.1606797834|18157|0.00817|3986.3759|0.008334|4127.4149
VICUSDT|vicusdt|0.8162|0.8384|0.8015|0.8097|3012444.573414341|2457104.17072884|30220|0.8066|24.0455|0.8124|16.7843
SNCETH|snceth|1.247e-05|1.266e-05|1.219e-05|1.232e-05|2893735.61|35.7000983537|2094|1.23e-05|406.5|1.269e-05|1645.39
TRACEUSDT|traceusdt|0.00998|0.01135|0.00912|0.00926|8789628.911809735|87266.219604005|1204|0.00926|11927.6458|0.00927|21574.973
JSTBTC|jstbtc|6.55e-07|6.64e-07|6.39e-07|6.452e-07|10529248.41|6.86111712357|3425|6.43e-07|8000.0|6.468e-07|20817.53
MUBIUSDT|mubiusdt|0.1094|0.1222|0.1006|0.107|6639722.671754031|741052.7464918|11552|0.1067|200.524|0.1074|109.3837
STEEMUSDT|steemusdt|0.2439|0.2487|0.2395|0.2481|685782.1889|167035.24538757|1617|0.2478|6047.1265|0.2482|3057.6919
AIOZUSDT|aiozusdt|0.195|0.2124|0.1912|0.2085|190534.9091699948|37533.69716111|1860|0.207|70.0515|0.2105|55.7511
CYBERUSDT|cyberusdt|9.4346|9.4356|8.7632|9.3755|413661.75400064496|3849242.09779811|46319|9.3416|5.1654|9.4035|1.2218
POLSUSDT|polsusdt|0.9111|0.9264|0.8966|0.9098|325007.24726608925|295675.25529149|7997|0.9085|116.209|0.9112|295.6478
AURYUSDT|auryusdt|1.2697|1.2787|1.2182|1.2286|118693.11389767478|149432.76478464|2218|1.2272|36.1971|1.2287|36.1971
AQTUSDT|aqtusdt|1.4493|1.5627|1.4493|1.5627|174.03227934344403|256.76157014|11|1.4979|7.3523|1.5092|33.1305
STPTUSDT|stptusdt|0.058098|0.058717|0.057047|0.058717|583556.65|33852.74091267|1716|0.05865|511.59|0.058893|25796.71
SILLYUSDT|sillyusdt|0.03077|0.03095|0.0272|0.02949|43903156.27696775|1321132.7299009138|24045|0.02923|1505.058|0.02944|1896.3804
MNTUSDT|mntusdt|0.7548|0.7959|0.7509|0.7775|1116207.825630204|856935.18295794|10316|0.7763|89.6172|0.7785|183.0
DORAUSDT|dorausdt|0.1855|0.1883|0.1719|0.1824|1248491.922|231702.75091941|8224|0.1819|1520.0|0.183|13046.3114
ICXUSDT|icxusdt|0.2502|0.2536|0.2442|0.2536|673711.05612905|168238.40356906|5921|0.2532|6978.4256|0.254|6268.3458
UNIBOTUSDT|unibotusdt|54.8074|55.0599|52.0588|53.2729|30308.60461397824|1616193.0862869|19743|53.172|79.3106|53.359|11.6357
AKROUSDT|akrousdt|0.005668|0.00584|0.005533|0.005635|52390148.18304425|296511.7307977371|4851|0.005613|3892.49|0.005644|32738.8
