gen_name|original_name|base_currency|quote_currency|display_name|base_display_name|quote_display_name|price_step|qty_step|qty_min|quote_qty_step|quote_qty_min|taker_fee_rate|maker_fee_rate|groups|group_steps|status|display_status
CAKEUSDT|CAKE-USDT|CAKE|USDT|CAKE-USDT|CAKE|USDT|0.01|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.010000000000', '0.100000000000', '1.000000000000', '10.000000000000']|1|2
CATSUSDT|CATS-USDT|CATS|USDT|CATS-USDT|CATS|USDT|0.000001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.000001000000', '0.000010000000', '0.000100000000', '0.001000000000']|1|2
CELUSDT|CEL-USDT|CEL|USDT|CEL-USDT|CEL|USDT|0.001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.001000000000', '0.010000000000', '0.100000000000', '1.000000000000']|1|2
CGPTUSDT|CGPT-USDT|CGPT|USDT|CGPT-USDT|CGPT|USDT|0.0001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.000100000000', '0.001000000000', '0.010000000000', '0.100000000000']|1|2
CHADUSDT|CHAD-USDT|CHAD|USDT|CHAD-USDT|CHAD|USDT|0.00000001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.000000010000', '0.000000100000', '0.000001000000', '0.000010000000']|1|2
CHESSUSDT|CHESS-USDT|CHESS|USDT|CHESS-USDT|CHESS|USDT|0.001|0.01|0.1|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.001000000000', '0.010000000000', '0.100000000000', '1.000000000000']|1|1
CHZUSDT|CHZ-USDT|CHZ|USDT|CHZ-USDT|CHZ|USDT|0.0001|1|1|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.000100000000', '0.001000000000', '0.010000000000', '0.100000000000']|1|1
CITYUSDT|CITY-USDT|CITY|USDT|CITY-USDT|CITY|USDT|0.001|1|1|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.001000000000', '0.010000000000', '0.100000000000', '1.000000000000']|1|2
COMPUSD|COMP-USD|COMP|USD|COMP-USD|COMP|USD|0.01|0.001|0.001|0.000000000001|1|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.010000000000', '0.100000000000', '1.000000000000', '10.000000000000']|1|2
COMPUSDT|COMP-USDT|COMP|USDT|COMP-USDT|COMP|USDT|0.01|0.001|0.001|0.000000000001|1|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.010000000000', '0.100000000000', '1.000000000000', '10.000000000000']|1|1
COREUSDT|CORE-USDT|CORE|USDT|CORE-USDT|CORE|USDT|0.00001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.000010000000', '0.000100000000', '0.001000000000', '0.010000000000']|1|2
CRVUSD|CRV-USD|CRV|USD|CRV-USD|CRV|USD|0.001|0.1|0.1|0.000000000001|1|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.001000000000', '0.010000000000', '0.100000000000', '1.000000000000']|1|2
CRVUSDT|CRV-USDT|CRV|USDT|CRV-USDT|CRV|USDT|0.001|0.1|0.1|0.000000000001|1|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.001000000000', '0.010000000000', '0.100000000000', '1.000000000000']|1|1
CSASUSDT|CSAS-USDT|CSAS|USDT|CSAS-USDT|CSAS|USDT|0.0001|0.01|0.01|0.000000000001|10|0.002000000000|0.002000000000|['1', '10', '100']|['0.000100000000', '0.001000000000', '0.010000000000']|1|1
CULAUSDT|CULA-USDT|CULA|USDT|CULA-USDT|CULA|USDT|0.00001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.000010000000', '0.000100000000', '0.001000000000', '0.010000000000']|1|2
CVXUSDT|CVX-USDT|CVX|USDT|CVX-USDT|CVX|USDT|0.01|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.010000000000', '0.100000000000', '1.000000000000', '10.000000000000']|1|2
DAIUSDT|DAI-USDT|DAI|USDT|DAI-USDT|DAI|USDT|0.0001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.000100000000', '0.001000000000', '0.010000000000', '0.100000000000']|1|2
DASHUSDT|DASH-USDT|DASH|USDT|DASH-USDT|DASH|USDT|0.1|0.01|0.01|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.100000000000', '1.000000000000', '10.000000000000', '100.000000000000']|1|2
DEPDUSDT|DEPD-USDT|DEPD|USDT|DEPD-USDT|DEPD|USDT|0.00001|1|1|0.000000000001|10|0.002000000000|0.002000000000|['1', '10', '100', '1000']|['0.000010000000', '0.000100000000', '0.001000000000', '0.010000000000']|1|1
DFIUSDT|DFI-USDT|DFI|USDT|DFI-USDT|DFI|USDT|0.0001|1|1|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.000100000000', '0.001000000000', '0.010000000000', '0.100000000000']|1|1
DFSNUSDT|DFSN-USDT|DFSN|USDT|DFSN-USDT|DFSN|USDT|0.01|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.010000000000', '0.100000000000', '1.000000000000', '10.000000000000']|1|2
DOGEUSDT|DOGE-USDT|DOGE|USDT|DOGE-USDT|DOGE|USDT|0.0001|1|1|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.000100000000', '0.001000000000', '0.010000000000', '0.100000000000']|1|1
DOSEUSDT|DOSE-USDT|DOSE|USDT|DOSE-USDT|DOSE|USDT|0.0001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.000100000000', '0.001000000000', '0.010000000000', '0.100000000000']|1|2
DOTUSDT|DOT-USDT|DOT|USDT|DOT-USDT|DOT|USDT|0.01|0.01|0.01|0.000000000001|1|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.010000000000', '0.100000000000', '1.000000000000', '10.000000000000']|1|1
