gen_name|original_name|best_ask|quantity_ask|best_bid|quantity_bid|min_quantity|max_quantity|min_price|max_price|max_amount|min_amount|price_precision|commission_taker_percent|commission_maker_percent
ZECBTC|ZEC_BTC|0.00042997|4.82676225|0.000423|0.03445094|0.01|10000|0.00001|10|100|0.001|8|0.1|0.1
ZRXBTC|ZRX_BTC|0.00000693|54.94544867|0.0000065|17.98782005|1|10000000|0.00000001|1|100|0.001|8|0.1|0.1
ZRXETH|ZRX_ETH|0.00016|21.91192331|0.000125|28|1|10000000|0.00000001|10|5000|0.01|8|0.1|0.1
UNIUSDT|UNI_USDT|6.7934|979.26894067|6.786|1000|0.5|1000000|0.0001|20000|5000000|2|4|0.2|0.2
YFIUSDT|YFI_USDT|7704.51|0.5|7704|0.2967374|0.00001|100|1|100000|1000|0.0002|2|0.2|0.2
PEPEUSDT|PEPE_USDT|0.00000113|6230088.49557522|0.00000112|26512757.14145305|1000|100000000|0.00000001|5|500000|0.01|8|0.2|0.2
PLCUCUSDT|PLCUC_USDT|47|19.9430702|30.00000018|3.3|0.0005|5000|0.01|100000|500000|1|8|0.2|0.2
DOGERUB|DOGE_RUB|7.38|0.03027609|7.3684|2845.04059451|10|10000000|0.000001|1000|5000000|50|4|0.3|0.3
PLCUUSDT|PLCU_USDT|116|0.0005|115.00000001|0.31704051|0.0005|5000|0.01|100000|500000|1|8|0.2|0.2
DOGEUSDT|DOGE_USDT|0.082952|16368.15983719|0.082741|80000|10|10000000|0.00000001|100|500000|0.1|8|0.2|0.2
SUIBTC|SUI_BTC|0.00003698|124.28535918|0.0000353|22.09970148|10|50000000|0.00000001|1|100|0.001|8|0.1|0.1
SUIUSDT|SUI_USDT|1.8085|10000|1.805905|12.86630624|10|50000000|0.0001|1000|500000|0.01|8|0.2|0.2
FLOKIUSDT|FLOKI_USDT|0.00003231|5000000|0.00003216|4999999.3118299|1000|100000000|0.00000001|10|500000|0.01|8|0.2|0.2
XAUTUSDT|XAUT_USDT|2029.0311|0.0285561|2019.405|0.02589665|0.0005|5000|0.01|100000|500000|1|4|0.2|0.2
LINKUSDT|LINK_USDT|20.1785|200|20.094|98.80929024|0.1|500000|0.001|1000|500000|0.5|4|0.2|0.2
KASUSDT|KAS_USDT|0.14419999|463.23632893|0.140001|1029.255054|2|1000000|0.001|1000|500000|1|8|0.2|0.2
AAVEUSDT|AAVE_USDT|90.4548|8.58340138|90.23|30|0.003|5000|0.01|5000|500000|3|4|0.2|0.2
MANAUSDT|MANA_USDT|0.4775|10000|0.4756|856.28724969|1|10000000|0.0001|1000|500000|0.01|8|0.2|0.2
MATICUSDT|MATIC_USDT|0.8809159|2283.80933945|0.8794|5000|1|10000000|0.0001|1000|500000|0.01|8|0.2|0.2
