coin|name|inner_coin|inner_name|depositenable|withdrawenable|network
NWC|Newscrypto|NWC|Newscrypto|True|True|Ethereum(ERC20)
NWC|Newscrypto|NWC|Newscrypto|True|True|Stellar(XLM)
RDPX|Dopex Rebate Token|RDPX|Dopex Rebate Token|False|True|Arbitrum One(ARB)
MFAM|Moonwell Apollo|MFAM|Moonwell Apollo|False|True|MOVR
WHT|WHT|WHT|WHT|False|False|HECO
ANALOS|analoS|ANALOS|analoS|True|True|Solana(SOL)
NWT|NAWARAT|NWT|NAWARAT|True|True|BNB Smart Chain(BEP20)
MWCC|MetaWorld|MWCC|MetaWorld|True|True|Tron(TRC20)
WIB|Wibson|WIB|Wibson|False|False|Ethereum(ERC20)
HXTZ|HXTZ|HXTZ|HXTZ|False|False|HECO
WIF|dogwifhat sol|WIF|dogwifhat sol|True|True|Solana(SOL)
1MCT|MicroCreditToken|1MCT|MicroCreditToken|True|True|BNB Smart Chain(BEP20)
NXD|Nexus Dubai|NXD|Nexus Dubai|False|True|Polygon(MATIC)
AKITA|Akita|AKITA|Akita|True|True|Ethereum(ERC20)
IBFK|Basaksehir FT|IBFK|Basaksehir FT|False|True|Chiliz Legacy Chain(CHZ)
WIN|WINK|WIN|WINK|True|True|Tron(TRC20)
BLOCX|BLOCX|BLOCX|BLOCX|True|True|BLOCX
FOOLBULL|FOOL BULL|FOOLBULL|FOOL BULL|False|True|BNB Smart Chain(BEP20)
WIT|Witnet|WIT|Witnet|True|True|WIT
CAWCEO|CAW CEO|CAWCEO|CAW CEO|True|True|BNB Smart Chain(BEP20)
CRYSTALPOWDER|Crystal Powder|CRYSTALPOWDER|Crystal Powder|False|True|BNB Smart Chain(BEP20)
PTERIA|Pteria|PTERIA|Pteria|False|True|Ethereum(ERC20)
POND|Marlin POND|POND|Marlin POND|True|True|Ethereum(ERC20)
ATLAS|Star Atlas|ATLAS|Star Atlas|True|True|Solana(SOL)
KLADY|KLADY|KLADY|KLADY|False|True|Ethereum(ERC20)
ELONMARS|ELON MARS|ELONMARS|ELON MARS|True|True|BNB Smart Chain(BEP20)
ACAD|Academy|ACAD|Academy|False|False|Ethereum(ERC20)
BONKBEST|BonkBest|BONKBEST|BonkBest|False|True|Ethereum(ERC20)
FIB|FIBON|FIB|FIBON|True|True|BNB Smart Chain(BEP20)
FID|Fidira|FID|Fidira|True|True|Polygon(MATIC)
FIC|FileCash|FIC|FileCash|False|False|FIC
FANT| Phantasia|FANT| Phantasia|False|True|Solana(SOL)
POLT|PolkaTrain|POLT|PolkaTrain|False|False|NONE
POLS|Polkastarter|POLS|Polkastarter|True|True|Ethereum(ERC20)
NYM|NYM|NYM|NYM|True|True|Ethereum(ERC20)
PORTUMA|Portuma|PORTUMA|Portuma|True|True|BNB Smart Chain(BEP20)
POLO|NftyPlay|POLO|NftyPlay|False|True|BNB Smart Chain(BEP20)
FIL|Filecoin|FIL|Filecoin|True|True|FIL
POLY|Polymath|POLY|Polymath|False|True|Ethereum(ERC20)
FIK|FileKdex|FIK|FileKdex|False|True|Ethereum(ERC20)
FIN|DeFiner|FIN|DeFiner|False|True|Ethereum(ERC20)
NIFT|Niftify|NIFT|Niftify|False|True|Ethereum(ERC20)
NIFT|Niftify|NIFT|Niftify|False|True|Polygon(MATIC)
GNOME|GenomesDAOGovernance|GNOME|GenomesDAOGovernance|False|True|Arbitrum One(ARB)
FIO|FIO Protocol|FIO|FIO Protocol|True|True|FIO
GVROLD|Grove|GVROLD|Grove|False|True|BNB Smart Chain(BEP20)
FIT|FIT|FIT|FIT|True|True|Ethereum(ERC20)
FIS|FiSphere|FIS|FiSphere|True|True|BNB Smart Chain(BEP20)
FIU|beFITTER|FIU|beFITTER|False|True|BNB Smart Chain(BEP20)
LTC2|LTC 2.0|LTC2|LTC 2.0|False|True|Ethereum(ERC20)
MANGO|Mango Markets|MANGO|Mango Markets|False|False|SOL
AKRO|Akropolis|AKRO|Akropolis|True|True|Ethereum(ERC20)
SPFC|Sao Paulo FC FT|SPFC|Sao Paulo FC FT|False|False|Chiliz Chain(CHZ2)
POMG|POM GOVERNANCE|POMG|POM GOVERNANCE|False|False|NONE
MNTL|AssetMantle|MNTL|AssetMantle|True|True|MNTL
BRIGHTID|BrightID|BRIGHTID|BrightID|False|True|Ethereum(ERC20)
RUSH|RUSH COIN|RUSH|RUSH COIN|True|True|Ethereum(ERC20)
QANX|QANplatform|QANX|QANplatform|False|True|BNB Smart Chain(BEP20)
QANX|QANplatform|QANX|QANplatform|False|True|Ethereum(ERC20)
ATEM|Atem Network|ATEM|Atem Network|False|True|BNB Smart Chain(BEP20)
ISLM|Islamic Coin|ISLM|Islamic Coin|True|True|ISLMEVM
FARA|FaraCrystal|FARA|FaraCrystal|True|True|BNB Smart Chain(BEP20)
FARB|ARB FURBO|FARB|ARB FURBO|False|True|Arbitrum One(ARB)
ASTRADAOOLD|Astra DAO|ASTRADAOOLD|Astra DAO|False|False|Ethereum(ERC20)
WLD|Worldcoin|WLD|Worldcoin|True|True|Ethereum(ERC20)
WLD|Worldcoin|WLD|Worldcoin|True|True|Optimism(OP)
PYLON|Pylon Finance|PYLON|Pylon Finance|False|True|Ethereum(ERC20)
FARM|FARM Reward|FARM|Harvest Finance|True|True|Ethereum(ERC20)
FARM|FARM Reward|FARM|FARM Reward|False|False|BNB Smart Chain(BEP20)
AVAOLD|Travala|AVAOLD|Travala|False|False|BNB Beacon Chain(BEP2)
POPK|POPKON|POPK|POPKON|False|True|Ethereum(ERC20)
GMEE|GAMEE|GMEE|GAMEE|False|True|Ethereum(ERC20)
GPTOLD|GracePeriodToken|GPTOLD|GracePeriodToken|False|False|ECOC
MFET|Environmental Token|MFET|Environmental Token|True|True|BNB Smart Chain(BEP20)
WMI|Web Mingle|WMI|Web Mingle|True|True|BNB Smart Chain(BEP20)
SGTOLD|snglsDAO|SGTOLD|snglsDAO|False|False|Ethereum(ERC20)
PSTAKE|pSTAKE Finance|PSTAKE|pSTAKE Finance|True|True|Ethereum(ERC20)
SAFEMARS|SAFEMARS|SAFEMARS|SAFEMARS|False|True|BNB Smart Chain(BEP20)
POOL|PoolTogether|POOL|PoolTogether|False|True|Ethereum(ERC20)
ISKY|Infinity Skies|ISKY|Infinity Skies|False|True|Polygon(MATIC)
LENDOLD|AAVE|LENDOLD|AAVE|False|False|Ethereum(ERC20)
POOH|POOH|POOH|POOH|True|True|Ethereum(ERC20)
WMT|World Mobile Token|WMT|World Mobile Token|True|True|Cardano(ADA)
SIMPSON6900|Simpson6900|SIMPSON6900|Simpson6900|False|True|Ethereum(ERC20)
MOSPACE|Game With Space|MOSPACE|Game With Space|False|True|BNB Smart Chain(BEP20)
BFIC|BFIC|BFIC|BFIC|False|False|BFIC
FLM|Flaming|FLM|Flamingo|True|True|NEO
FLM|Flaming|FLM|Flaming|True|True|NEO3
1MIL|1MillionNFTs|1MIL|1MillionNFTs|False|True|Ethereum(ERC20)
CASHZ|CashZone|CASHZ|CashZone|False|True|Klaytn(KLAY)
XWIN|xWIN Finance|XWIN|xWIN Finance|False|True|BNB Smart Chain(BEP20)
FLR|Flare|FLR|Flare|True|True|FLARE
HONOR|Honorswap|HONOR|Honorswap|True|True|BNB Smart Chain(BEP20)
FLY|Franklin|FLY|Franklin|False|True|Ethereum(ERC20)
FLX|Flex Ungovernance|FLX|Flex Ungovernance|True|True|Ethereum(ERC20)
WNK|The Winkyverse|WNK|The Winkyverse|True|True|BNB Smart Chain(BEP20)
BABYDOGE|BabyDogeCoin|BABYDOGE|BabyDogeCoin|True|True|BNB Smart Chain(BEP20)
BABYDOGE|BabyDogeCoin|BABYDOGE|BabyDogeCoin|False|True|Ethereum(ERC20)
TYRANT|Fable Of The Dragon|TYRANT|Fable Of The Dragon|False|True|Ethereum(ERC20)
EOSC|EOS FORCE|EOSC|EOS FORCE|True|True|EOSC
WNT|Wicrypt|WNT|Wicrypt|True|True|Polygon(MATIC)
PORK|PepeFork|PORK|PepeFork|True|True|Ethereum(ERC20)
FMC|FimarkCoin|FMC|FimarkCoin|True|True|Tron(TRC20)
FMG|FM Gallery|FMG|FM Gallery|False|True|Ethereum(ERC20)
WNZ|Winnerz|WNZ|Winnerz|True|True|Ethereum(ERC20)
FRTN|Fortune|FRTN|Fortune|False|True|CRONOS
SPIZ|SPACE-iZ Token|SPIZ|SPACE-iZ Token|True|True|Ethereum(ERC20)
FRTS|Fruits|FRTS|Fruits|True|True|FRTS
FMT|FitR Metaverse Token|FMT|FitR Metaverse Token|False|True|BNB Smart Chain(BEP20)
WOD|World of Defish|WOD|World of Defish|False|True|BNB Smart Chain(BEP20)
SPIT|SPIT|SPIT|SPIT|False|True|Polygon(MATIC)
AIEPK|EpiK Protocol|AIEPK|EpiK Protocol|True|True|Ethereum(ERC20)
SMILEY|Smiley|SMILEY|Smiley|True|True|Ethereum(ERC20)
TWITFI|TWITFI|TWITFI|TWITFI|False|True|Ethereum(ERC20)
WOM|Wombat Exchange|WOM|Wombat Exchange|True|True|BNB Smart Chain(BEP20)
NIKA|Nika|NIKA|Nika|False|True|ASTAREVM
WOO|WOO Network|WOO|Wootrade Network|True|True|Ethereum(ERC20)
WOO|WOO Network|WOO|WOO Network|True|True|BNB Smart Chain(BEP20)
WOO|WOO Network|WOO|WOO Network|False|False|Polygon(MATIC)
FAST|Fastswap BSC|FAST|Fastswap BSC|False|True|BNB Smart Chain(BEP20)
FND|Rare FND|FND|Rare FND|False|True|BNB Smart Chain(BEP20)
FNF|Fanffle Token|FNF|Fanffle Token|True|True|Klaytn(KLAY)
PERRY|Perry|PERRY|Perry|False|True|Ethereum(ERC20)
KARATE|KARATE|KARATE|KARATE|True|True|Hedera(HBAR)
UPUNK|CryptoPunks|UPUNK|CryptoPunks|False|True|Ethereum(ERC20)
FNY|Funny Money|FNY|Funny Money|False|True|BNB Smart Chain(BEP20)
ATID|AstridDAO|ATID|AstridDAO|True|True|ASTAREVM
FNX|FinNexus|FNX|FinNexus|False|True|Ethereum(ERC20)
WAVES|Waves|WAVES|Waves|True|True|WAVES
FNZ|Fanzee|FNZ|Fanzee|True|True|Toncoin(TON)
EXFI|Flare Finance|EXFI|Flare Finance|True|True|SGB
FAVR|FAVOR|FAVR|FAVOR|True|True|Klaytn(KLAY)
DUCK|Silly Duck|DUCK|Silly Duck|True|True|Solana(SOL)
NGOODLUNCH|Good Lunch Dao|NGOODLUNCH|Good Lunch Dao|False|False|NONE
FOF|Future Of Fintech|FOF|Future Of Fintech|False|True|BNB Smart Chain(BEP20)
FOG|FOGNET Token|FOG|FOGNET Token|True|True|Ethereum(ERC20)
PEARL|Pearl|PEARL|Pearl|False|True|Tron(TRC20)
CUDOS|CUDOS|CUDOS|CUDOS|True|False|CUDOS
COREUM|Coreum|COREUM|Coreum|True|True|Ripple(XRP)
FON|INOFi|FON|INOFi|True|True|Ethereum(ERC20)
FOR|FOR|FOR|TheForceProtocol|True|True|Ethereum(ERC20)
FOR|FOR|FOR|FOR|True|True|BNB Smart Chain(BEP20)
SHIDO|Shido|SHIDO|Shido|True|True|Ethereum(ERC20)
FOX|FOX Token|FOX|FOX Token|True|True|Ethereum(ERC20)
POSI|Position Exchange|POSI|Position Exchange|False|True|BNB Smart Chain(BEP20)
AIRDROP|Airdrop Token|AIRDROP|Airdrop Token|False|True|Ethereum(ERC20)
TSOC|TSOC|TSOC|TSOC|False|False|Ethereum(ERC20)
CHOKE|Artichoke Protocol|CHOKE|Artichoke Protocol|True|True|Arbitrum One(ARB)
NUDES|NUDES|NUDES|NUDES|False|True|NEO3
XFIN|XFIN-HECO|XFIN|X-FIN|False|True|Ethereum(ERC20)
XFIN|XFIN-HECO|XFIN|XFIN-HECO|False|False|HECO
WQT|WorkQuest Token|WQT|WorkQuest Token|False|False|ERC20
WQT|WorkQuest Token|WQT|WorkQuest Token|True|True|BNB Smart Chain(BEP20)
CATGIRL|Catgirl|CATGIRL|Catgirl|True|True|BNB Smart Chain(BEP20)
OAS|Oasys Token|OAS|Oasys Token|True|True|OASYS
OAX|OAX|OAX|OAX|False|True|Ethereum(ERC20)
CRAC|Cracle|CRAC|Cracle|True|True|BNB Smart Chain(BEP20)
BFLY|Butterfly Protocol|BFLY|Butterfly Protocol|False|True|Ethereum(ERC20)
CRAB|CRAB|CRAB|CRAB|False|False|CRING
BANANAGUN|Banana Gun|BANANAGUN|Banana Gun|True|True|Ethereum(ERC20)
JPEGS|IlliquidDAO|JPEGS|IlliquidDAO|False|True|Ethereum(ERC20)
DLTA|delta.theta|DLTA|delta.theta|False|True|Ethereum(ERC20)
PAWSWAP|PAWSWAP|PAWSWAP|PAWSWAP|True|True|Ethereum(ERC20)
OBI|ORBOFI|OBI|ORBOFI|True|True|BNB Smart Chain(BEP20)
WRT|WingRiders|WRT|WingRiders|False|True|Cardano(ADA)
WRT|WingRiders|WRT|WingRiders|False|False|BNB Smart Chain(BEP20)
DUEL|GameGPT|DUEL|GameGPT|True|True|Ethereum(ERC20)
WRX|WazirX|WRX|WazirX|False|True|BNB Beacon Chain(BEP2)
SPOL|SociaPol|SPOL|SociaPol|True|True|BNB Smart Chain(BEP20)
POGAI|poor guy|POGAI|poor guy|True|True|Arbitrum One(ARB)
OBT|Oobit|OBT|Oobit|True|True|Ethereum(ERC20)
IBOX|IBOX|IBOX|IBOX|True|True|BNB Smart Chain(BEP20)
WHITE|WhiteheartToken|WHITE|WhiteheartToken|False|True|Ethereum(ERC20)
OBX|OpenBlox|OBX|OpenBlox|False|True|Avalanche C Chain(AVAX CCHAIN)
ATLS|Atlas Token|ATLS|Atlas Token|False|True|Ethereum(ERC20)
WSB|WALL STREET BABY|WSB|WALL STREET BABY|True|True|Ethereum(ERC20)
UNCX|UniCrypt|UNCX|UniCrypt|False|True|Ethereum(ERC20)
WSG|Wall Street Games|WSG|Wall Street Games|False|False|BNB Smart Chain(BEP20)
WSI|WeSendit|WSI|WeSendit|True|True|BNB Smart Chain(BEP20)
OCC|Occam.Fi|OCC|OCCAMFI|True|True|Ethereum(ERC20)
OCC|Occam.Fi|OCC|Occam.Fi|False|False|Cardano(ADA)
MAGOLD|Magnesium|MAGOLD|Magnesium|False|True|Ethereum(ERC20)
GROKBSC|GROK|GROKBSC|GROK|True|True|BNB Smart Chain(BEP20)
WSM|Wall Street Memes|WSM|Wall Street Memes|False|False|BNB Smart Chain(BEP20)
SWINGBY|Swingby|SWINGBY|Swingby|True|True|Ethereum(ERC20)
OCF|OceanFi|OCF|OceanFi|True|True|BNB Smart Chain(BEP20)
MEGALAND|Metagalaxy Land|MEGALAND|Metagalaxy Land|False|False|BNB Smart Chain(BEP20)
FRC|Force|FRC|Force|True|True|Ethereum(ERC20)
TKAI|TAIKAI|TKAI|TAIKAI|True|True|Ethereum(ERC20)
OCT|Octopus Networ|OCT|Octopus Network|True|True|Ethereum(ERC20)
OCT|Octopus Networ|OCT|Octopus Networ|True|False|NEAR Protocol(NEAR)
CIRI|CIRI Coin|CIRI|CIRI Coin|True|True|BNB Smart Chain(BEP20)
WTA|Waltonchain Autonomy|WTA|Waltonchain Autonomy|True|True|WTA
TRUMPINU|Trump Inu|TRUMPINU|Trump Inu|False|True|BNB Smart Chain(BEP20)
FRR|Frontrow|FRR|Frontrow|False|True|Ethereum(ERC20)
WTF|WTF|WTF|WTF|False|True|Ethereum(ERC20)
DDDX|DDDX|DDDX|DDDX|False|True|BNB Smart Chain(BEP20)
OKAOLD|Okaleido|OKAOLD|Okaleido|True|True|BNB Smart Chain(BEP20)
ODDZ|ODDZ-BSC|ODDZ|ODDZ|True|True|Ethereum(ERC20)
ODDZ|ODDZ-BSC|ODDZ|ODDZ-BSC|True|True|BNB Smart Chain(BEP20)
FRZ|Frenzy|FRZ|Frenzy|True|True|BNB Smart Chain(BEP20)
DECOLD|Decentr|DECOLD|Decentr|False|False|Ethereum(ERC20)
WTR|Deepwaters|WTR|Deepwaters|True|True|Avalanche C Chain(AVAX CCHAIN)
LUFCOLD|LUFC|LUFCOLD|LUFC|False|False|Chiliz Legacy Chain(CHZ)
ODS|ODS|ODS|ODS|False|True|Ethereum(ERC20)
HYCO|HYPERCOMIC|HYCO|HYPERCOMIC|True|True|Ethereum(ERC20)
SPOX|Spotrax|SPOX|Spotrax|False|True|BNB Smart Chain(BEP20)
FSN|Fusion|FSN|Fusion|True|True|FSN
BOB2|Bob 2.0|BOB2|Bob 2.0|False|True|Ethereum(ERC20)
FST|Futureswap |FST|Futureswap |False|True|Ethereum(ERC20)
CRDN|Cardence|CRDN|Cardence|False|True|BNB Smart Chain(BEP20)
ATNT|Artizen|ATNT|Artizen|True|True|Ethereum(ERC20)
CENNZ|Centrality|CENNZ|Centrality|True|True|CENNZ
SYAI|Synth Ai|SYAI|Synth Ai|True|True|BNB Smart Chain(BEP20)
MFTOLD|Mainframe Token|MFTOLD|Mainframe Token|False|False|Ethereum(ERC20)
ROCKI|ROCKI|ROCKI|ROCKI|True|True|Ethereum(ERC20)
GMMT|Giant Mammoth|GMMT|Giant Mammoth|True|True|GMMT
ARGON|ArgonToken|ARGON|ArgonToken|False|True|BNB Smart Chain(BEP20)
CRDC|Cardiocoin|CRDC|Cardiocoin|True|True|Ethereum(ERC20)
FORCE|Force DAO|FORCE|Force DAO|False|True|Ethereum(ERC20)
TURBO|Turbo|TURBO|Turbo|True|True|Ethereum(ERC20)
UNFI|Unifi Protocol DAO|UNFI|Unifi Protocol DAO|True|True|Ethereum(ERC20)
FTM|Fantom|FTM|Fantom|True|True|Ethereum(ERC20)
FTM|Fantom|FTM|Fantom|True|True|Fantom(FTM)
MHUNT|MetaShooter|MHUNT|MetaShooter|False|True|Polygon(MATIC)
MHUNT|MetaShooter|MHUNT|MetaShooter|False|True|BNB Smart Chain(BEP20)
ATOZ|Race Kingdom|ATOZ|Race Kingdom|False|True|BNB Smart Chain(BEP20)
FTN|Fasttoken|FTN|Fasttoken|True|True|BAHAMUT
BTCBAM|Bitcoin Bam|BTCBAM|Bitcoin Bam|False|False|Ethereum(ERC20)
FTP|Fountain Protocol|FTP|Fountain Protocol|False|False|EMERALD
X7C|X7 Coin|X7C|X7 Coin|True|True|Tron(TRC20)
BOBO|BOBO|BOBO|BOBO|True|True|Ethereum(ERC20)
CREO|Creo Engine|CREO|Creo Engine|True|True|BNB Smart Chain(BEP20)
FTT|FTX Token|FTT|FTX Token|True|True|Ethereum(ERC20)
ATOR|ATOR Protocol|ATOR|ATOR Protocol|True|True|Ethereum(ERC20)
KPCOLD|K Pop Click Coin|KPCOLD|K Pop Click Coin|False|False|Ethereum(ERC20)
ATOM|COSMOS|ATOM|COSMOS|True|True|Cosmos(ATOM)
BOBC|Bobcoin|BOBC|Bobcoin|False|True|Ethereum(ERC20)
BOBA|Boba|BOBA|Boba|True|True|Ethereum(ERC20)
UNIC|UNIC|UNIC|UNIC|False|True|Ethereum(ERC20)
NADA|NADA Protocol|NADA|NADA Protocol|False|False|Hedera(HBAR)
FUD|Fud the Pug|FUD|Fud the Pug|True|True|Sui
FUC|FUNNY COIN|FUC|FUNNY COIN|False|True|Arbitrum One(ARB)
OFN|Openfabric AI|OFN|Openfabric AI|True|True|BNB Smart Chain(BEP20)
WEAVERS|NONE|WEAVERS|NONE|False|False|NONE
MOBX|MOBIX|MOBX|MOBIX|True|True|FET
CRE8|Creaticles|CRE8|Creaticles|False|True|Ethereum(ERC20)
UNII|UNI Innamorare|UNII|UNI Innamorare|False|True|Ethereum(ERC20)
FUN|FUNToken|FUN|FUNToken|True|True|Ethereum(ERC20)
KOINON|KOINON|KOINON|KOINON|True|True|KOINON
MURATIAI|MuratiAI|MURATIAI|MuratiAI|True|True|BNB Smart Chain(BEP20)
GERAOLD|Gera Coin|GERAOLD|Gera Coin|False|True|Ethereum(ERC20)
SHIRO|Shiro|SHIRO|Shiro|False|True|BNB Smart Chain(BEP20)
MPLAY|MetaPlay|MPLAY|MetaPlay|False|True|BNB Smart Chain(BEP20)
TRVOLD|TrustVerse|TRVOLD|TrustVerse|False|False|Ethereum(ERC20)
MINTYS|MintySwap|MINTYS|MintySwap|False|True|Ethereum(ERC20)
CITY|Manchester City Fan|CITY|Manchester City Fan|False|False|Chiliz Chain(CHZ2)
UJENNY|Jenny Metaverse DAO|UJENNY|Jenny Metaverse DAO|False|True|Ethereum(ERC20)
LFGOLD|Gamerse|LFGOLD|Gamerse|False|True|BNB Smart Chain(BEP20)
OGN|Origin|OGN|Origin|True|True|Ethereum(ERC20)
WWY|WeWay|WWY|WeWay|True|True|BNB Smart Chain(BEP20)
MFPS|Meta FPS|MFPS|Meta FPS|False|True|BNB Smart Chain(BEP20)
SPRT|Sportium|SPRT|Sportium|True|True|BNB Smart Chain(BEP20)
GMPD|GamesPad|GMPD|GamesPad|True|True|BNB Smart Chain(BEP20)
OGV|OGV|OGV|OGV|True|True|Ethereum(ERC20)
OGY|Origyn Foundation|OGY|Origyn Foundation|True|True|OGY
OGZ|OGzClub|OGZ|OGzClub|False|True|Ethereum(ERC20)
REAP|REAP|REAP|REAP|True|True|BNB Smart Chain(BEP20)
MGROK|Meme Grok|MGROK|Meme Grok|False|True|Ethereum(ERC20)
SHDW|Shadowswap Finance|SHDW|Shadowswap Finance|False|True|CORE
FWB|FriendsWithBenefits|FWB|FriendsWithBenefits|False|True|Ethereum(ERC20)
EOSBEAR|EOSBEAR|EOSBEAR|EOSBEAR|False|False|Ethereum(ERC20)
FWC|FWC Token|FWC|FWC Token|True|True|BNB Smart Chain(BEP20)
FWF|Farmers World Food|FWF|Farmers World Food|False|True|WAX
SONAR|SonarWatch|SONAR|SonarWatch|False|True|Solana(SOL)
OHM|OlympusDAO|OHM|OlympusDAO|False|True|Ethereum(ERC20)
FWG|Farmers World Gold|FWG|Farmers World Gold|False|True|WAX
RMESH|RightMesh|RMESH|RightMesh|False|False|Ethereum(ERC20)
FX1|FANZY-X1|FX1|FANZY-X1|False|True|Ethereum(ERC20)
AERGO|AERGO|AERGO|AERGO|True|True|Ethereum(ERC20)
ALBT|AllianceBlock|ALBT|AllianceBlock|False|False|Ethereum(ERC20)
NRFB|NuriFootBall|NRFB|NuriFootBall|False|True|Ethereum(ERC20)
UNIQ|Uniqly|UNIQ|Uniqly|False|True|Ethereum(ERC20)
SHILL|SHILL Token|SHILL|SHILL Token|True|True|Solana(SOL)
SHILL|SHILL Token|SHILL|SHILL Token|True|True|BNB Smart Chain(BEP20)
FWW|Farmers World Wood|FWW|Farmers World Wood|True|True|WAX
CAGA|CAGA Crypto|CAGA|CAGA Crypto|True|True|Ethereum(ERC20)
AIKIRBY|AI Kirby|AIKIRBY|AI Kirby|False|True|Ethereum(ERC20)
GEAR|Gearbox|GEAR|Gearbox|True|True|Ethereum(ERC20)
UNIX|UniX Gaming|UNIX|UniX Gaming|False|True|Ethereum(ERC20)
LOONG|LOONG|LOONG|LOONG|False|True|BNB Smart Chain(BEP20)
OIL|Oiler|OIL|Oiler|False|True|Ethereum(ERC20)
ATRI|Atari|ATRI|Atari|False|True|Ethereum(ERC20)
HYFI|Hyper Finance |HYFI|Hyper Finance |False|True|BNB Smart Chain(BEP20)
REAL|Realy|REAL|Realy|True|True|Solana(SOL)
SHARBI|SHARBI|SHARBI|SHARBI|False|True|Ethereum(ERC20)
GORILLA1|Harry|GORILLA1|Harry|False|True|Ethereum(ERC20)
EGLD|MULTIVERSX|EGLD|MULTIVERSX|True|True|EGLD
MODA|Moda Network|MODA|Moda Network|False|True|BNB Smart Chain(BEP20)
DDIM|DuckDaoDime|DDIM|DuckDAODime|False|True|Ethereum(ERC20)
DDIM|DuckDaoDime|DDIM|DuckDaoDime|False|False|BNB Smart Chain(BEP20)
FXN|FoxFunnies|FXN|FoxFunnies|True|True|BNB Smart Chain(BEP20)
WEMIXOLD|WEMIX TOKEN|WEMIXOLD|WEMIX TOKEN|False|True|Klaytn(KLAY)
KCASH|KCASH|KCASH|KCASH|False|False|Ethereum(ERC20)
LOOKS|LooksRare|LOOKS|LooksRare|True|True|Ethereum(ERC20)
FXS|FraxShare|FXS|FraxShare|True|True|Ethereum(ERC20)
TFIOLD|TomoFinance|TFIOLD|TomoFinance|False|True|TOMO
BRISE|Bitrise|BRISE|Bitrise|True|True|BNB Smart Chain(BEP20)
SHFT|Shyft Network|SHFT|Shyft Network|False|True|Ethereum(ERC20)
FXY|FLOXYPAY|FXY|FLOXYPAY|False|True|Polygon(MATIC)
OJA|Ojamu|OJA|Ojamu|True|True|Ethereum(ERC20)
LEVIATANBONK|Leviatanbonk|LEVIATANBONK|Leviatanbonk|False|False|BNB Smart Chain(BEP20)
WZM|WooZooMusic|WZM|WooZooMusic|False|True|Ethereum(ERC20)
SPWN|Bitspawn|SPWN|Bitspawn|False|False|Ethereum(ERC20)
SPWN|Bitspawn|SPWN|Bitspawn|False|True|Solana(SOL)
MENGOOLD|MENGO|MENGOOLD|MENGO|False|False|Chiliz Legacy Chain(CHZ)
HALLOWEEN|Halloween|HALLOWEEN|Halloween|True|True|Ethereum(ERC20)
FYN|Affyn|FYN|Affyn|True|True|Polygon(MATIC)
CHANGE|ChangeX|CHANGE|ChangeX|True|True|HYDRA
ADOGE|AmazingDoge|ADOGE|AmazingDoge|False|True|BNB Smart Chain(BEP20)
HANDY|Handy|HANDY|Handy|True|True|Ethereum(ERC20)
THALES|THALES|THALES|Thales|False|False|Ethereum(ERC20)
THALES|THALES|THALES|THALES|True|True|Optimism(OP)
SASHIMI|SashimiSwap|SASHIMI|SashimiSwap|False|True|Ethereum(ERC20)
WHALE|WHALE|WHALE|WHALE|True|True|WHALE
MSHEESHA|Sheesha Finance|MSHEESHA|Sheesha Finance|True|True|Polygon(MATIC)
OKA|Okaleido|OKA|Okaleido|False|True|BNB Smart Chain(BEP20)
ACSI|ACryptoSI|ACSI|ACryptoSI|False|True|BNB Smart Chain(BEP20)
OKB|OKB|OKB|OKB|True|True|Ethereum(ERC20)
OKB|OKB|OKB|OKB|True|False|OKT
ZUKI|Zuki Moba|ZUKI|Zuki Moba|False|True|BNB Smart Chain(BEP20)
ATTN|ATTN Token|ATTN|ATTN Token|False|True|Ethereum(ERC20)
OKS|Oikos|OKS|Oikos|False|True|Tron(TRC20)
BITMAT|BIT MATRIX BRAWL|BITMAT|BIT MATRIX BRAWL|False|True|BNB Smart Chain(BEP20)
OKT|OKExChain|OKT|OKExChain|True|True|OKT
LUFFYOLD2|Luffy|LUFFYOLD2|Luffy|False|True|Ethereum(ERC20)
PICKLE|Pickle Finance|PICKLE|Pickle Finance|False|True|Ethereum(ERC20)
IDHUB|Identity Hub|IDHUB|Identity Hub|False|False|Ethereum(ERC20)
ALEX|ALEX Lab|ALEX|ALEX Lab|True|True|STACKS
FAKTOLD|Medifakt|FAKTOLD|Medifakt|False|False|Ethereum(ERC20)
NIZA|Niza Global|NIZA|Niza Global|True|True|Ethereum(ERC20)
SHIB|SHIB-SOL|SHIB|SHIBAINU|True|True|Ethereum(ERC20)
SHIB|SHIB-SOL|SHIB|SHIB-BSC|True|True|BNB Smart Chain(BEP20)
SHIB|SHIB-SOL|SHIB|SHIB-SOL|False|False|SOL
OLE|OpenLeverage|OLE|OpenLeverage|True|True|BNB Smart Chain(BEP20)
OLE|OpenLeverage|OLE|OpenLeverage|True|True|Ethereum(ERC20)
SHIA|Shiba Saga|SHIA|Shiba Saga|True|True|Ethereum(ERC20)
GORILLA|Gorilla|GORILLA|Gorilla|True|True|Ethereum(ERC20)
OM3|Oracle Mesh|OM3|Oracle Mesh|True|True|BNB Smart Chain(BEP20)
OLV|Olive|OLV|Olive|False|True|Klaytn(KLAY)
PPAY|Plasmapay|PPAY|Plasmapay|False|True|Ethereum(ERC20)
SONNE|Sonne Finance|SONNE|Sonne Finance|True|True|Optimism(OP)
