coin|name|inner_coin|inner_name|depositenable|withdrawenable|network
BSGG|Betswap.gg|BSGG|Betswap.gg|False|True|Ethereum(ERC20)
BSGG|Betswap.gg|BSGG|Betswap.gg|False|True|Avalanche C Chain(AVAX CCHAIN)
WOJAK|Wojak|WOJAK|Wojak|True|True|Ethereum(ERC20)
SKL|SKALE|SKL|SKALE|True|True|Ethereum(ERC20)
QWAN|QWAN|QWAN|QWAN|False|True|Ethereum(ERC20)
WPAY|World Pay Token|WPAY|World Pay Token|False|True|BNB Smart Chain(BEP20)
TRUCK|TRUCK|TRUCK|TRUCK|False|False|NONE
SKP|SKY Play|SKP|SKY Play|True|True|Polygon(MATIC)
SKR|Staking|SKR|Staking|False|True|Ethereum(ERC20)
BLUES|Blueshift|BLUES|Blueshift|True|True|Cardano(ADA)
SKT|Sukhavati Network|SKT|Sukhavati Network|False|True|Ethereum(ERC20)
AGRO|Agro Global Token V2|AGRO|Agro Global Token V2|True|True|BNB Smart Chain(BEP20)
RICE|RICE|RICE|RICE|False|False|HECO
SKY|SKY|SKY|SKY|False|True|Ethereum(ERC20)
TRUSTNFT|TrustNFT|TRUSTNFT|TrustNFT|False|True|BNB Smart Chain(BEP20)
SLC|Solice|SLC|Solice|False|True|Solana(SOL)
LENDS|Lends|LENDS|Lends|True|True|Ethereum(ERC20)
ORARE|OneRare|ORARE|OneRare|True|True|Polygon(MATIC)
SLG|Shattered Legion|SLG|Shattered Legion|True|True|Ethereum(ERC20)
APED|APED|APED|APED|True|True|Ethereum(ERC20)
SLM|SalmonToken|SLM|SalmonToken|False|True|Tron(TRC20)
SLP|Smooth Love Potion|SLP|Smooth Love Potion|True|True|Ethereum(ERC20)
SLP|Smooth Love Potion|SLP|Smooth Love Potion|True|True|BNB Smart Chain(BEP20)
ARTII|ARTII Token|ARTII|ARTII Token|False|True|Ethereum(ERC20)
SLT|Sui Launch Token|SLT|Sui Launch Token|True|True|APTOS(APT)
SLIM|SOLANIUM|SLIM|SOLANIUM|True|True|Solana(SOL)
FROGE|Froge|FROGE|Froge|False|True|BNB Smart Chain(BEP20)
BKN|Brickken|BKN|Brickken|True|True|Ethereum(ERC20)
MMOSH|MMOSH Pit Protocol|MMOSH|MMOSH Pit Protocol|True|True|Solana(SOL)
ARTIC|ARTIC FOUNDATION|ARTIC|ARTIC FOUNDATION|False|True|Ethereum(ERC20)
STYLE|STYLE Protocol|STYLE|STYLE Protocol|False|True|Ethereum(ERC20)
BENOLD|BEN|BENOLD|BEN|False|False|Ethereum(ERC20)
