gen_name|name_BIT|name_EXMO|name_HTX|name_OKX|name_MEXC|count_none
ZIGUSDT|None|None|zigusdt|None|ZIGUSDT|3
RDNTUSDT|None|None|rdntusdt|RDNT-USDT|RDNTUSDT|2
OGVUSDT|None|None|ogvusdt|None|OGVUSDT|3
IOSTUSDT|None|None|iostusdt|IOST-USDT|IOSTUSDT|2
CKBUSDT|None|None|ckbusdt|None|CKBUSDT|3
ARGUSDT|None|None|argusdt|ARG-USDT|ARGUSDT|2
WOJAKUSDT|None|None|wojakusdt|None|WOJAKUSDT|3
PHAUSDT|None|None|phausdt|PHA-USDT|PHAUSDT|2
KARUSDT|None|None|None|KAR-USDT|KARUSDT|3
XRPUSDT|XRP-USDT|XRP_USDT|xrpusdt|XRP-USDT|XRPUSDT|0
WEMIXUSDT|WEMIX-USDT|None|wemixusdt|None|WEMIXUSDT|2
TENETUSDT|None|None|tenetusdt|None|TENETUSDT|3
TOMSUSDT|None|None|tomsusdt|None|TOMSUSDT|3
ZUZALUUSDT|None|None|zuzaluusdt|None|ZUZALUUSDT|3
GRVUSDT|None|None|grvusdt|None|GRVUSDT|3
MILOUSDT|None|None|None|MILO-USDT|MILOUSDT|3
RANKERUSDT|None|None|rankerusdt|None|RANKERUSDT|3
CELUSDT|None|None|None|CEL-USDT|CELUSDT|3
FITFIUSDT|None|None|fitfiusdt|FITFI-USDT|FITFIUSDT|2
TURTUSDT|None|None|turtusdt|None|TURTUSDT|3
JTOUSDT|None|None|jtousdt|JTO-USDT|JTOUSDT|2
LEASHUSDT|LEASH-USDT|None|None|LEASH-USDT|None|3
RINGUSDT|None|None|ringusdt|None|RINGUSDT|3
KINEUSDT|None|None|None|KINE-USDT|KINEUSDT|3
EVMOSUSDT|None|None|evmosusdt|None|EVMOSUSDT|3
RATSUSDT|RATS-USDT|None|ratsusdt|None|RATSUSDT|2
JPGUSDT|None|None|None|JPG-USDT|JPGUSDT|3
ABBCUSDT|None|None|abbcusdt|None|ABBCUSDT|3
KNCUSDT|None|None|kncusdt|KNC-USDT|KNCUSDT|2
ORBUSDT|None|None|orbusdt|ORB-USDT|None|3
NEWUSDT|None|None|newusdt|None|NEWUSDT|3
MEVUSDT|None|None|mevusdt|None|MEVUSDT|3
GODSUSDT|None|None|godsusdt|GODS-USDT|GODSUSDT|2
VELOUSDT|None|None|velousdt|VELO-USDT|VELOUSDT|2
ZENUSDT|None|None|zenusdt|None|ZENUSDT|3
RIOUSDT|None|None|riousdt|RIO-USDT|RIOUSDT|2
ICEUSDT|None|None|None|ICE-USDT|ICEUSDT|3
LDOUSDT|None|None|ldousdt|LDO-USDT|LDOUSDT|2
MBOXUSDT|None|None|mboxusdt|None|MBOXUSDT|3
ANMLUSDT|None|None|anmlusdt|None|ANMLUSDT|3
USDTRUB|None|USDT_RUB|usdtrub|None|None|3
GOALUSDT|None|None|None|GOAL-USDT|GOALUSDT|3
CFXUSDT|None|None|None|CFX-USDT|CFXUSDT|3
TRBUSDT|None|None|trbusdt|TRB-USDT|None|3
AVAXUSDC|None|None|None|AVAX-USDC|AVAXUSDC|3
NUMUSDT|None|None|numusdt|None|NUMUSDT|3
ETHUSDT|ETH-USDT|ETH_USDT|ethusdt|ETH-USDT|ETHUSDT|0
LRCUSDT|None|None|lrcusdt|LRC-USDT|LRCUSDT|2
DEPUSDT|None|None|depusdt|DEP-USDT|DEPUSDT|2
COTIUSDT|None|None|cotiusdt|None|COTIUSDT|3
PBRUSDT|None|None|pbrusdt|None|PBRUSDT|3
FTMUSDC|None|None|None|FTM-USDC|FTMUSDC|3
BLURUSDT|None|None|blurusdt|BLUR-USDT|BLURUSDT|2
DCRUSDT|None|None|dcrusdt|DCR-USDT|DCRUSDT|2
DOTUSDT|DOT-USDT|DOT_USDT|dotusdt|DOT-USDT|DOTUSDT|0
ARUSDT|None|None|arusdt|AR-USDT|ARUSDT|2
KCALUSDT|None|None|kcalusdt|KCAL-USDT|None|3
WLDUSDT|WLD-USDT|None|wldusdt|WLD-USDT|WLDUSDT|1
MONGUSDT|None|None|mongusdt|None|MONGUSDT|3
SFUNDUSDT|None|None|sfundusdt|None|SFUNDUSDT|3
