gen_name|original_name|last|lastSz|askPx|askSz|bidPx|bidSz|open24h|high24h|low24h|volCcy24h|vol24h|ts|sodUtc0|sodUtc8|alias|baseCcy|category|ctMult|ctType|ctVal|ctValCcy|expTime|instFamily|instType_y|lever|listTime|lotSz|maxIcebergSz|maxLmtAmt|maxLmtSz|maxMktAmt|maxMktSz|maxStopSz|maxTriggerSz|maxTwapSz|minSz|optType|quoteCcy|settleCcy|state|stk|tickSz|uly
YFIIUSDC|YFII-USDC|971.5|0.019083|970.9|0.134452|966.7|0.424123|1013|1023.3|944|2824.4998991|2.860665|1708432124506|982.7|1023.3||YFII|1|||||||SPOT||1660023463000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|0.001||USDC||live||0.1|
AXSUSDT|AXS-USDT|8.326|6.4|8.325|32.65|8.322|10|8.207|8.542|8.082|1951627.482205761|235657.490517|1708432122904|8.405|8.213||AXS|1|||||||SPOT|5|1627376400000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|0.1||USDT||live||0.001|
XRPETH|XRP-ETH|0.0001938|17.809|0.0001939|2526.728|0.0001936|4856.024|0.0001922|0.0001965|0.0001865|65.6518227245|341566.569|1708432113413|0.0001912|0.0001919||XRP|1|||||||SPOT||1548133413000|0.001|999999999999999.0000000000000000|20000000|999999999999999|1000000|1000000|1000000|999999999999999.0000000000000000|999999999999999.0000000000000000|1||ETH||live||0.0000001|
LQTYUSDT|LQTY-USDT|1.526|47.3959|1.526|85.6275|1.525|165|1.522|1.553|1.484|469154.3817756|307331.2934|1708432123605|1.529|1.538||LQTY|1|||||||SPOT|5|1682050337000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|1||USDT||live||0.001|
BCHUSDC|BCH-USDC|271|0.5062|271.1|0.5062|271|1.0124|269.3|274.1|264.4|233563.28042|864.3584|1708432116105|272.9|269.6||BCH|1|||||||SPOT|10|1605477603000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|0.01||USDC||live||0.1|
KLAYUSDC|KLAY-USDC|0.2358|423.2502|0.2361|2362.7553|0.2353|3013.305|0.2326|0.2424|0.2301|28189.71249531|120111.6857|1708432123504|0.2361|0.2351||KLAY|1|||||||SPOT||1658816142000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|10||USDC||live||0.0001|
VELOUSDT|VELO-USDT|0.005391|9604.540128|0.005394|3500|0.005389|9613.096483|0.005382|0.005499|0.005316|523682.672927857118|97111051.823435|1708432113311|0.005457|0.005359||VELO|1|||||||SPOT||1615194000000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|100||USDT||live||0.000001|
ETCUSDT|ETC-USDT|27.09|0.187842|27.11|347.800004|27.09|591.188177|26.8|27.88|26.41|14821328.78578823|548033.764451|1708432125111|27.41|26.8||ETC|1|||||||SPOT|10|1548133413000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|0.1||USDT||live||0.01|
TAMAUSDT|TAMA-USDT|0.00594|62432|0.00595|18533.75|0.00591|44958.75|0.00606|0.0061|0.00575|710261.3503946|119539825.04|1708432092324|0.006|0.00604||TAMA|1|||||||SPOT||1664264522000|0.01|9999999999999999.0000000000000000|20000000|9999999999999999|1000000|1000000|1000000|9999999999999999.0000000000000000|9999999999999999.0000000000000000|100||USDT||live||0.00001|
ASTRUSDT|ASTR-USDT|0.17039|1440.648163|0.17035|2362.5|0.1703|4362.5|0.17684|0.17702|0.16728|3222434.89086062499|18774260.854609|1708432124704|0.17237|0.1735||ASTR|1|||||||SPOT||1642405602000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|10||USDT||live||0.00001|
CTXCUSDT|CTXC-USDT|0.6109|167.327759|0.61|70|0.6095|600|0.6329|0.6332|0.5875|1220315.1663420748|1988873.946705|1708432122812|0.6154|0.6272||CTXC|1|||||||SPOT||1548133413000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|10||USDT||live||0.0001|
MANABTC|MANA-BTC|0.00000974|214.3|0.00000985|2934.3|0.00000982|687.5|0.00000965|0.00000998|0.00000961|0.0669866162|6801.82|1708432124807|0.00000998|0.00000973||MANA|1|||||||SPOT|3|1548133413000|0.01|9999999999999999.0000000000000000|20000000|9999999999999999|1000000|1000000|1000000|9999999999999999.0000000000000000|9999999999999999.0000000000000000|10||BTC||live||0.00000001|
BCHUSDT|BCH-USDT|271|0.033252|271.1|20.8876|271|292.541361|269.3|274.2|264.3|9304158.6352062|34452.228483|1708432121213|273.2|269.6||BCH|1|||||||SPOT|10|1605477603000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|0.01||USDT||live||0.1|
ETCUSDC|ETC-USDC|27.11|0.0768|27.12|10.7|27.09|44.0875|26.82|27.87|26.45|38758.195286|1430.3531|1708432124308|27.45|26.98||ETC|1|||||||SPOT|10|1660023174000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|0.1||USDC||live||0.01|
ASTRUSDC|ASTR-USDC|0.17052|0.0002|0.17041|906.4945|0.1704|95.4628|0.17712|0.17712|0.16752|38233.998048004|222526.8364|1708432125008|0.17232|0.17328||ASTR|1|||||||SPOT||1654585199000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|10||USDC||live||0.00001|
ETHDAI|ETH-DAI|2946.66|0.018398|2952.85|0.135597|2920.01|0.078972|2904.6|2980|2866.67|30425.75617279|10.365006|1708432122212|2951.3|2915.26||ETH|1|||||||SPOT||1576623617000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|0.001||DAI||live||0.01|
VSYSUSDT|VSYS-USDT|0.001323|5880.822193|0.001324|323.524706|0.00132|116.205407|0.001293|0.001379|0.001281|40230.796177793526|30569517.483548|1708432089804|0.001313|0.001325||VSYS|1|||||||SPOT||1548133413000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|999999|999999|999999999999.0000000000000000|999999999999.0000000000000000|100||USDT||live||0.000001|
