gen_name|original_name|best_bid|best_ask|best_bid_qty|best_ask_qty|last_price|last_qty|open24h|high24h|low24h|price_change24h|volume24h|volume_usd24h|quote_volume24h|display_name_x|quote_index_price|index_price|index_high24h|index_low24h|index_price_change24h|base_currency|quote_currency|display_name_y|base_display_name|quote_display_name|price_step|qty_step|qty_min|quote_qty_step|quote_qty_min|taker_fee_rate|maker_fee_rate|groups|group_steps|status|display_status
MASKUSDT|MASK-USDT|3.748000000000|3.755000000000|26.000000000000|27.000000000000|3.749000000000|9.000000000000|3.682000000000|3.798000000000|3.654000000000|0.018196632265|127108.000000000000|474508.369504693976|474152.960000000000|MASK-USDT||||||MASK|USDT|MASK-USDT|MASK|USDT|0.001|1|1|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.001000000000', '0.010000000000', '0.100000000000', '1.000000000000']|1|1
MATICUSDT|MATIC-USDT|0.926000000000|0.931000000000|107.700000000000|105.400000000000|0.926000000000|17.700000000000|0.875000000000|0.935000000000|0.874000000000|0.058285714286|1038111.100000000000|933015.899709411204|932347.333300000000|MATIC-USDT||||||MATIC|USDT|MATIC-USDT|MATIC|USDT|0.001|0.1|0.1|0.000000000001|1|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.001000000000', '0.010000000000', '0.100000000000', '1.000000000000']|1|1
MKRUSDT|MKR-USDT|2102.000000000000|2111.000000000000|0.094900000000|0.047500000000|2107.000000000000|0.008700000000|2059.000000000000|2129.000000000000|2031.000000000000|0.023312287518|1177.647300000000|2447935.949937027604|2446071.220000000000|MKR-USDT||||||MKR|USDT|MKR-USDT|MKR|USDT|1|0.0001|0.0001|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['1.000000000000', '10.000000000000', '100.000000000000', '1000.000000000000']|1|1
NEARUSDT|NEAR-USDT|3.380000000000|3.400000000000|359.700000000000|179.600000000000|3.390000000000|45.900000000000|3.310000000000|3.460000000000|3.250000000000|0.024169184290|213153.400000000000|716212.070217193041|715680.231000000000|NEAR-USDT||||||NEAR|USDT|NEAR-USDT|NEAR|USDT|0.01|0.1|0.1|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.010000000000', '0.100000000000', '1.000000000000', '10.000000000000']|1|2
NEWUUSDT|NEWU-USDT|0.121000000000|0.200000000000|102.000000000000|250.000000000000|0.200000000000|50.000000000000|0.136000000000|0.200000000000|0.136000000000|0.470588235294|2240.000000000000|393.552147500127|393.250000000000|NEWU-USDT||||||NEWU|USDT|NEWU-USDT|NEWU|USDT|0.001|1|1|0.000000000001|10|0.002000000000|0.002000000000|['1', '10', '100', '1000']|['0.001000000000', '0.010000000000', '0.100000000000', '1.000000000000']|1|1
OGUSDT|OG-USDT|4.934000000000|4.952000000000|217.000000000000|82.000000000000|4.942000000000|4.000000000000|4.930000000000|4.976000000000|2.470000000000|0.002434077079|51571.000000000000|253849.743847224325|253660.402000000000|OG-USDT||||||OG|USDT|OG-USDT|OG|USDT|0.001|1|1|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.001000000000', '0.010000000000', '0.100000000000', '1.000000000000']|1|2
OMGUSDT|OMG-USDT|0.696000000000|0.699000000000|599.800000000000|472.600000000000|0.696000000000|1.600000000000|0.684000000000|0.711000000000|0.682000000000|0.017543859649|535299.500000000000|373151.274216104510|372871.312200000000|OMG-USDT||||||OMG|USDT|OMG-USDT|OMG|USDT|0.001|0.1|0.1|0.000000000001|1|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.001000000000', '0.010000000000', '0.100000000000', '1.000000000000']|1|1
ORDIUSDT|ORDI-USDT|69.900000000000|70.200000000000|17.960000000000|17.960000000000|70.100000000000|4.050000000000|70.100000000000|70.100000000000|70.100000000000|0.000000000000|0.000000000000|0.000000000000|0.000000000000|ORDI-USDT||||||ORDI|USDT|ORDI-USDT|ORDI|USDT|0.1|0.01|0.01|0.000000000001|10|0.002000000000|0.002000000000|['1', '10', '100', '1000']|['0.100000000000', '1.000000000000', '10.000000000000', '100.000000000000']|1|1
PEOPLEUSDT|PEOPLE-USDT|0.029980000000|0.030090000000|14999.996000000000|14999.996000000000|0.030037000000|1097.561000000000|0.030413000000|0.030501000000|0.029170000000|-0.012363134186|32852296.681000000000|984995.415986688365|984273.236601201000|PEOPLE-USDT||||||PEOPLE|USDT|PEOPLE-USDT|PEOPLE|USDT|0.000001|0.001|80|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100']|['0.000001000000', '0.000010000000', '0.000100000000']|1|1
PEPEUSDT|PEPE-USDT|0.000001240000|0.000001260000|12096775.000000000000|19999997.000000000000|0.000001250000|747076360.000000000000|0.000001250000|0.000001290000|0.000001200000|0.000000000000|1663674372142.000000000000|2066972.472850642678|2065376.948871730000|PEPE-USDT||||||PEPE|USDT|PEPE-USDT|PEPE|USDT|0.00000001|1|1|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.000000010000', '0.000000100000', '0.000001000000', '0.000010000000']|1|1
