gen_name|original_name|best_ask|quantity_ask|best_bid|quantity_bid|min_quantity|max_quantity|min_price|max_price|max_amount|min_amount|price_precision|commission_taker_percent|commission_maker_percent
XLMRUB|XLM_RUB|10.62|0.00061321|10.53|255.416868|5|5000000|0.00001|100000|50000000|0.1|2|0.3|0.3
XLMBTC|XLM_BTC|0.00000227|37.4760567|0.00000223|1897|5|5000000|0.00000001|1|100|0.001|8|0.1|0.1
XLMUSDT|XLM_USDT|0.1166|9953.7625995|0.11640005|2202.6431718|5|5000000|0.0001|1000|500000|0.01|8|0.2|0.2
XRPRUB|XRP_RUB|52.399998|17.50472576|51.444171|23.048292|1|5000000|0.000001|10000|50000000|0.01|6|0.3|0.3
XRPBTC|XRP_BTC|0.00001096|600|0.00001094|5600|1|5000000|0.0000001|1|100|0.00001|8|0.1|0.1
XRPUSDT|XRP_USDT|0.568451|15000|0.56782229|1000|1|5000000|0.001|1000|500000|0.001|8|0.2|0.2
XRPETH|XRP_ETH|0.00020078|2214.55854039|0.0002002|10000|1|5000000|0.00000001|10|5000|0.00001|8|0.1|0.1
XTZRUB|XTZ_RUB|100.9999|93.3068502|99|11.25982835|0.2|100000|0.00001|100000|500000|0.5|4|0.3|0.3
XTZBTC|XTZ_BTC|0.00002121|28.72639978|0.00002036|19.64636542|0.2|100000|0.00000001|1|10|0.00001|8|0.1|0.1
YFIBTC|YFI_BTC|0.15228727|0.00138363|0.15116069|0.0009275|0.00001|100|0.0001|50|100|0.0001|8|0.1|0.1
ZECRUB|ZEC_RUB|2050|0.06449686|2000.01|4.05131668|0.01|10000|0.001|200000|50000000|0.1|2|0.3|0.3
ZECBTC|ZEC_BTC|0.00043999|0.22529308|0.00041035|4.05537206|0.01|10000|0.00001|10|100|0.001|8|0.1|0.1
ZRXBTC|ZRX_BTC|0.00000707|43.18016075|0.00000644|328.93762039|1|10000000|0.00000001|1|100|0.001|8|0.1|0.1
ZRXETH|ZRX_ETH|0.00016|170.20517116|0.00012|0.15857981|1|10000000|0.00000001|10|5000|0.01|8|0.1|0.1
UNIUSDT|UNI_USDT|7.5727|999.99999999|7.5694|3.19663919|0.5|1000000|0.0001|20000|5000000|2|4|0.2|0.2
YFIUSDT|YFI_USDT|7874.71|0.2|7873|0.27999096|0.00001|100|1|100000|1000|0.0002|2|0.2|0.2
PEPEUSDT|PEPE_USDT|0.00000125|57999999.23723065|0.00000124|36585439.40032828|1000|100000000|0.00000001|5|500000|0.01|8|0.2|0.2
PLCUCUSDT|PLCUC_USDT|42.5|0.3992|35.00000042|2.82857139|0.0005|5000|0.01|100000|500000|1|8|0.2|0.2
DOGERUB|DOGE_RUB|7.8797|280.70982975|7.76|12.88659794|10|10000000|0.000001|1000|5000000|50|4|0.3|0.3
PLCUUSDT|PLCU_USDT|131.89999999|0.14131127|121.00003796|0.39897077|0.0005|5000|0.01|100000|500000|1|8|0.2|0.2
DOGEUSDT|DOGE_USDT|0.086666|49895.36732275|0.08528255|3012.04819277|10|10000000|0.00000001|100|500000|0.1|8|0.2|0.2
SUIBTC|SUI_BTC|0.00003649|122.46564158|0.00003505|38.225|10|50000000|0.00000001|1|100|0.001|8|0.1|0.1
SUIUSDT|SUI_USDT|1.837|5500|1.77514102|55.77021706|10|50000000|0.0001|1000|500000|0.01|8|0.2|0.2
FLOKIUSDT|FLOKI_USDT|0.00003377|4999999.4948464|0.00003361|3658546.72575271|1000|100000000|0.00000001|10|500000|0.01|8|0.2|0.2
XAUTUSDT|XAUT_USDT|2002.9999|0.00060999|1998.1574|0.03634724|0.0005|5000|0.01|100000|500000|1|4|0.2|0.2
LINKUSDT|LINK_USDT|20.1605|200|20.0635|45.70442212|0.1|500000|0.001|1000|500000|0.5|4|0.2|0.2
KASUSDT|KAS_USDT|0.1387|5|0.1385|10.16853314|2|1000000|0.001|1000|500000|1|8|0.2|0.2
AAVEUSDT|AAVE_USDT|93.77|30|93.63|30|0.003|5000|0.01|5000|500000|3|4|0.2|0.2
MANAUSDT|MANA_USDT|0.49|54.54543044|0.476|1|1|10000000|0.0001|1000|500000|0.01|8|0.2|0.2
MATICUSDT|MATIC_USDT|0.92980547|3524.88285569|0.9279|5000|1|10000000|0.0001|1000|500000|0.01|8|0.2|0.2
